id,text,predicted_class,predicted_confidence
166797,"Provision of cash for food and psychosocial support to IDP women, boys, girls and men, specific ESNFI needs assessment for particularly women headed households to respond most vulnerable families, and creating safe environment for affected children during emergencies in Kandahar, Hilmand, Uruzgan and Zabul provinces.",Partial,0.41802096
166798,"Provision of cash for food and psychosocial support to IDP women, boys, girls and men, specific ESNFI needs assessment for particularly women headed households to respond most vulnerable families, and creating safe environment for affected children during emergencies in Kandahar, Hilmand, Uruzgan and Zabul provinces.",Partial,0.41802096
166806,"Emergency assistance to 750 IDPs households (5250 individuals) through cash transfers, protection, and WASH to improve the humanitarian conditions of conflict-affected persons in hard-to-reach areas in the East region of Afghanistan, in particular in the districts of Surkh Rod in Nangahar, and Dari-i-Pech and Khas Kunar in Kunar",Partial,0.18645836
166807,"Emergency assistance to 750 IDPs households (5250 individuals) through cash transfers, protection, and WASH to improve the humanitarian conditions of conflict-affected persons in hard-to-reach areas in the East region of Afghanistan, in particular in the districts of Surkh Rod in Nangahar, and Dari-i-Pech and Khas Kunar in Kunar",Partial,0.18645836
166808,"Emergency assistance to 750 IDPs households (5250 individuals) through cash transfers, protection, and WASH to improve the humanitarian conditions of conflict-affected persons in hard-to-reach areas in the East region of Afghanistan, in particular in the districts of Surkh Rod in Nangahar, and Dari-i-Pech and Khas Kunar in Kunar",Partial,0.18645836
166809,"Provision of WASH, Food Security (Cash transfer) and Protection assistance for IDPs and Returnees families in Khas Kuner district of Kuner province and Khugiani district of Nangrahar province",Partial,0.29500815
166810,"Provision of WASH, Food Security (Cash transfer) and Protection assistance for IDPs and Returnees families in Khas Kuner district of Kuner province and Khugiani district of Nangrahar province",Partial,0.29500815
166811,"Provision of WASH, Food Security (Cash transfer) and Protection assistance for IDPs and Returnees families in Khas Kuner district of Kuner province and Khugiani district of Nangrahar province",Partial,0.29500815
166956,Support to the WFP’ s School Meal Programme in Lebanon. The project intends to promote the right to education for all children in Lebanon and  ensure improved nutritional intake for pupils. It provides for the daily distribution of school snacks to Syrian and Lebanese pupils in selected public primary schools and the distribution of a monthly cash allowance for the Syrian pupils enrolled in the second shift classes.,Full,0.5244581
167296,"Water trucking,food and cash contributions",Partial,0.030510668
167570,"Cash Project, diversication of livelihoods and market internevtions to strengthen vulnerable households; 2017: 90.000,00 € 2018: 405.000,00 € (AA-S09 321.50 SSD 13/17)",Full,0.93547446
167994,"UNHCR Cash Assisstance to returness and Protection & Assistance for Refugees, IDPs & Returnees,  Multi-year, 2016-2017, 2017 portion, total amount GBP 1,500,000",Full,0.94838035
168044,Strenghtening Resilience through Cash for Education in North-east Nigeria,Full,0.9784046
168225,Cash Monitoring Evaluation Accountability and Learning Organisational Network (ECHO/SYR/BUD/2017/91048),Full,0.98159766
168226,"Emergency WASH and cash intervention for drought and conflict affected communities of East and West Hararghe zones, Oromia region of Ethiopia (ECHO/-HF/BUD/2017/91059)",Partial,0.1326037
168648,WASH and CASH assistance to conflict affected IDPs,Partial,0.029890608
168954,"UNHCR: Secondment Cash-based Interventions Expert, Multiyear 2017-2018, total amount CHF 121,200 (Z7H314300056)",Full,0.9731862
169129,"IFRC Secondment of a Cash in Emergencies Specialist, Multiyear, 2017-2018, total amount CHF 190,000 (Z7H514500020)",Full,0.98677224
169132,"Secondment of a Cash Expert to the Cash Learning Partnership (CaLP), Multiyear, 2017-2018, total amount CHF 60,000 (Z7H514500019)",Full,0.991227
169416,"Envelop 1: Emergency Lifesaving Ignore Food Voucher Assistance to 4200HHs of most vulnerable affected by the conflict of men, women, boys and girls in Dawran Aness and Jabal Ash sharq Districts in Dhamar Governorate.",Full,0.779418
169444,"Agriculture Production for potatoes and vegetables, and Cash For Work",Partial,0.042712163
154985,"Food and cash to improve food security in Nugaal/Sool, Puntland State and Bay, South West State of Somalia. (D002531).",Partial,0.060758967
155002,"Cash-for-Work, Cash Transfers for Food, Food Vouchers, Local Procurement, Nutrition through IPs (USAID/FFP)",Partial,0.05720272
155012,Humanitarian WASH and cash assistance to displaced populations in Myanmar (Kachin) (part of ECHO/-XA/BUD/2017/91003),Partial,0.13604653
155014,Emergency livelihood support through cash for work for refugees from South Sudan,Full,0.9862742
170118,Sierra Leone: Humanitarian and Early Recovery Cash Transfers (SM170446),Full,0.8790826
170250,WFP Additional 2017 Cash Contribution PRRO 20098  (7F-03297.38),Full,0.9893853
170711,Programme d'assistance monétaire multi sectorielle et mise en place de projets de résilience.,Partial,0.32912207
170728,Aide aux réfugiés irakiens de Madaba et Kerak : cash for work et formation professionelle,Partial,0.1856955
170749,WFP Secondment of a social protection and social safe nets advisor.,Full,0.9843507
170821,Résilience et redressement via des transferts monétaires pour les populations touchées par le conflit à Damasak,Partial,0.42277926
172391,Provision of Health Services and Cash Assistance for crisis affected Syrians in North-Eastern Jordan,Partial,0.1754327
172489,Cash-based Intervention for Sryian and Iraqi Refugees in Mersin (Third Phase),Full,0.9908923
176798,"Provision of crop and vegetable seeds, tools, fishing kits, and agricultural training, cash-based transfers",Partial,0.047029745
176801,"Provision of crop and vegetable seeds, tools, fishing kits, and agricultural training, cash-based transfers",Partial,0.047029745
176806,"Provision of crop and vegetable seeds, tools, fishing kits, and agricultural training, cash-based transfers",Partial,0.047029745
177494,"Strengthening capacities for cash-transfer programmes2016: 23.720,44 €    2017: 384.023,56 €    2018: 500.000,00 € (2017 portion)",Full,0.7482432
178118,Harmonized Multi-Purpose Cash Assistance to Conflict Affected vulnerable households in Iraq II,Full,0.9907284
178376,OFDA/FFP: Cash Consortium for Iraq (CCI) Emergency Response for Conflict Affected Households 2017-18,Full,0.9178586
191456,Improvement of access to community infrastructure and coverage of humanitarian need through cash transfers;,Full,0.9041112
155176,Psycho-social assistance for conflict-affected Syrian refugees in Jordan,Full,0.76054335
194513,WFP Cash Programme in Lebanon ( 1 Jan 2017 - March 2018 ),Full,0.98528314
195197,"(Core voluntary funds) Moving out of fragility through effective national social protection floors in times of continuing conflict and austerity. Total funding amount: $262,140 (2017: $4,268; 2018: $135,729; 2019: $122,143)",Full,0.75923795
203037,"Implementation of Grand Bargain Commitments in the field of Harmonization and Simplification of Donor Reporting Requirements as well as cash-based humanitarian assistance; 2017: 55.224,00 € 2018: 100.294,00 € 2019: 61.194,00 € (2017 portion)",Partial,0.25668576
155244,"Scale up preventive and curative nutrition, and health services alongside WASH and cash programming. This action will help prevent further deterioration in malnutrition levels whilst providing much needed treatment for those already affected. ",Partial,0.30461878
155246,"Provide immediate life-saving assistance through unconditional in-kind and cash based transfer, and provide curative and preventative nutrition services to children U5 and pregnant and lactating women",Partial,0.08954945
155286,Providing Cash to food insecure households to buy food in response to climate induced prolonged food crises.,Full,0.9870991
155287,Cash response as well as the re-establishment of the water distributions in Marsabit and Isiolo.,Full,0.98703593
155288,Cash distribution,Full,0.9921516
142951,"Improvement of nutrition status and current living conditions of IDP's and host communities in Wau sity and district by voucher distributions for food; 2016: 284.211,94 € 2017: 688.209,35 € 2018: 714.000.,00 € (AA-S05 321.50 SSD 10/16)",Partial,0.4730451
150793,"Strengthening capacities for cash-transfer programmes2016: 23.720,44 €    2017: 384.023,56 €    2018: 500.000,00 €",Full,0.7255688
162431,"Implementation of Grand Bargain Commitments in the field of Harmonization and Simplification of Donor Reporting Requirements as well as cash-based humanitarian assistance; Multiyear 2017-2019; 2017: 55.224,00 € 2018: 100.294,00 € 2019: 61.194,00 €",Partial,0.2779662
165459,Implementation of SDC/HA Operational Concept on Cash Transfer Programming (CTP) Multiyear 2017-2020; total amount 600 000 CHF. (7F-07880.05),Full,0.944266
167560,"Cash Project, diversication of livelihoods and market internevtions to strengthen vulnerable households; 2017: 90.000,00 € 2018: 405.000,00 € (AA-S09 321.50 SSD 13/17)",Full,0.93547446
168953,"UNHCR: Secondment Cash-based Interventions Expert, Multiyear 2017-2018, total amount CHF 121,200 (Z7H314300056)",Full,0.9731862
169051,"Delivering case managment and GBV
cash assistance within a survivorcentered approach for Syrian refugee and host community women in Jordan, Multiyear 2017-2019, total amount CHF 520,000 (7F-09919.01)",Partial,0.17431061
169128,"IFRC Secondment of a Cash in Emergencies Specialist, Multiyear, 2017-2018, total amount CHF 190,000 (Z7H514500020)",Full,0.98677224
169131,"Secondment of a Cash Expert to the Cash Learning Partnership (CaLP), Multiyear, 2017-2018, total amount CHF 60,000 (Z7H514500019)",Full,0.991227
170748,WFP Secondment of a social protection and social safe nets advisor.,Full,0.9843507
176804,"Provision of crop and vegetable seeds, tools, fishing kits, and agricultural training, cash-based transfers",Partial,0.047029745
178117,205094-101 - Harmonized Multi-Purpose Cash Assistance to Conflict Affected vulnerable households in Iraq II,Full,0.9625879
178375,OFDA/FFP: Cash Consortium for Iraq (CCI) Emergency Response for Conflict Affected Households 2017-18,Full,0.9178586
182484,"UNHCR Cash Assisstance to returness and Protection & Assistance for Refugees, IDPs & Returnees  , Multi-year, 2016-2017, total amount GBP 11,500,000",Full,0.94096714
198609,Cash cards for Syrian refugees,Full,0.9926664
155543,Support to Palestine Refugees in Syria through providing essential services including quality healthcare and education and emergency cash assistance,Partial,0.065404214
155787,"Jordan - Cash Assistance for essential needs, including food, shelter and NFIs (State/PRM)",Full,0.96528584
148194,Conditional food assistance via cash-based transfers for asset creation or rehabilitation activities; general food assistance (unconditional) via cash-based transfers; nutrition assistance for the prevention and treatment of malnutrition for children aged 6-59 months,Full,0.6952201
156033,"Emergency assistance responding to food, NFI and shelter needs through distributions of cash and in-kind supplies, from 2016 to 2017, 2017 portion  (part of ECHO/SYR/BUD/2016/91009)",Full,0.54676634
156063,Targeted emergency cash assistance to most vulnerable households affected by drought,Full,0.992084
156078,WFP Multi-Bi Allocation 2017 - Cash Contributions: Emergency food assistance (part of 7F-03297.38),Full,0.98545146
156094,"Appui à la sécurité alimentaire et nutritionnelle des ménages très pauvres et vulnérables à travers l'assistance monétaire à usages multiples dans les communes de Bambara Maoudé, Haribomo, Inadiatafane et Ouinerden (ECHO/-WF/BUD/2017/91046)",Full,0.59591347
156168,"Emergency support to conflict-affected internally displaced and host communities through the extention of vital NFI assistance (items and vouchers) to conflict-affected populations, improving water access with complementary hygeine and sanitation programmes, improved food security and livelihoods through kitchen gardens, agricultural support and cash for work , from 2015 to 2017, 2017 portion (USAID/OFDA)",Partial,0.06289281
156243,"Provide food assistance, medical services, and emergency cash assistance (D003920)",Partial,0.031755112
156245,"Provide food assistance, medical services, and emergency cash assistance (D003920)",Partial,0.031755112
156465,"Food Vouchers and Cash Transfers for Relief Food and Livelihoods, Nutrition Assistance.  Urgent upscaling of cash-based interventions to prevent famine in rural areas of Somalia (USAID/FFP)",Partial,0.05593277
156662,Food and Cash assistance for refugees and asylum seekers in Djibouti (ECHO/-HF/BUD/2017/91027),Partial,0.07547196
156739,"In response to 2017 appeal:WASH, health, nutrition, cash, livelihoods through L'Oeuvre Léger (D004378).",Partial,0.07273778
156741,"WASH, NFIs, Shelter, Cash, Livelihoods (D004391).",Partial,0.02192643
156746,"WASH, NFIs, cash, livelihoods through CARE Canada   (D004368).",Partial,0.020182805
157043,Unconditional Cash and WASH,Full,0.72305745
157044,Unconditional Cash and WASH,Full,0.72305745
157117,Emergency Distribution of NFIs and Cash Transfer to Returnees and IDPs,Partial,0.14990959
157124,"Rapid shelter response focused on cash-for-rent and distribution of Sealing Off Kits (SOKs). 400 SOKs were distributed, benefiting 2,233 individuals.",Full,0.952104
157231,"Enabling resilience to the drought situation for the most vulnerable households in Marsabit County, Kenya, through unconditional cash transfers (ECHO/-HF/BUD/2017/91047)",Full,0.97867215
157397,Distribution of food items and cash transfer to households with malnourished children,Full,0.8893216
157455,Distribution of food items and cash transfer to households with malnourished children,Full,0.8893216
157456,Distribution of food items and cash transfer to households with malnourished children,Full,0.8893216
157501,"Short-Term Employment Project for Gaza Strip Graduates Third Phase, Cash for work assistance",Full,0.9648681
157510,Transitional Shelter Solutions and Cash for Work Support,Partial,0.21421298
157796,Social Protection (SM1499101403),Full,0.79839075
157797,Social Protection (SM170028),Full,0.8675094
157939,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2017 portion of multiyear award 2016-2018; total EUR 11.5 million),Full,0.664468
157944,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2017 portion of multiyear award 2016-2018),Full,0.7113268
157946,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2017 portion of multiyear award 2016-2018),Full,0.7113268
157947,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2017 portion of multiyear award 2016-2018),Full,0.7113268
158026,Non-earmarked Cash distributions.,Full,0.98640984
158064,"Programme Officer Cash Based Transfers, Techn. Assistance inc. Experts (Secondment) Multiyear 2017 to 2018, 2017 portion (part of Z7H214200027)",Full,0.9793185
158065,"Programme Officer Cash Based Transfers, Techn. Assistance inc. Experts (Secondment) Multiyear 2017 to 2018, 2018 portion (part of Z7H214200027)",Full,0.9801294
158067,"Additional Credit: Programme Officer Cash Based Transfers, Nairobi: Techn. Assistance inc. Experts (Secondment) ( Z7H21400007 )",Full,0.97648007
158081,"WFP Multi-Bi Allocation 2017 - Cash Contribution for n Emergency food assistance
(7F-09777.06)",Full,0.9880945
158106,Social Protection (through UNICEF/Madagascar),Full,0.939529
153101,Provision of Multi-Purpose Cash Assistance to Vulnerable Herder Households Affected by Dzud,Full,0.9918829
158481,Humanitarian WASH and cash assistance to displaced populations in Myanmar (Shan) (part of ECHO/-XA/BUD/2017/91003),Partial,0.12961756
158513,Alima:Prise en charge de la malnutrition aiguë sévère (enfants avec complications).PUI: Assistance alimentaire / coupons + renforcement dépistage de la malnutrition,Partial,0.1836444
153220,"Relèvement immédiat Post-Matthew: Assistance cash et semences à des familles paysannes through SHA , Multiyear: 2016-2017, 2017 portion (part of 7F-09736.01)",Partial,0.1324253
159039,PAM/FAO:Assistance alimentaire pour les réfugiés de RCA et  appui aux filières des petits producteurs agricoles.CICR:Achat semences et outils.SI:Coupons pour foire aux vivres,Partial,0.28808293
159041,PAM/FAO:Assistance alimentaire pour les réfugiés de RCA et  appui aux filières des petits producteurs agricoles.CICR:Achat semences et outils.SI:Coupons pour foire aux vivres,Partial,0.28808293
159043,PAM:Transferts monétaires+coupons + P4P (achats aux producteurs locaux et redistribution)Acted:relance agricole via des foires aux intrants agricolesPUI/CRF:relance agropastoraleTGH:Améliorat° sécurité alimentaire (Kits mairaichers et vivriers + services vétérinaires+ kits pêche et apiculture),Partial,0.21567133
159046,PAM:Transferts monétaires+coupons + P4P (achats aux producteurs locaux et redistribution)Acted:relance agricole via des foires aux intrants agricolesPUI/CRF:relance agropastoraleTGH:Améliorat° sécurité alimentaire (Kits mairaichers et vivriers + services vétérinaires+ kits pêche et apiculture),Partial,0.21567133
159051,Programme pilote / cash dans camps de réfugiés burundais,Full,0.92390424
159062,Coupons électroniques,Full,0.9299057
159083,Comprehensive Emergency WASH and Unconditional Cash Assistance for Vulnerable Conflict Affected Households in Al Dhale'e (ECHO/YEM/BUD/2017/91006),Partial,0.4643601
159170,Amélioration de la sécurité alimentaire et de la résilience des communautés à Karamoja au travers d’activités de travail contre argent et de formation.,Full,0.54417145
159456,Reserve Fund-Cash Reserve Account,Full,0.9896197
159908,Life-saving cash assistance to the most vulnerable households affected by floods and landslides,Full,0.99135584
159974,Cash support to needy children (orphans)  covering for their  social and health care in various provinces of Yemen.,Full,0.9905408
160155,Food Security Cash Distribution Project - Ainabo District,Full,0.9923184
160744,Social Protection,Full,0.9044839
142797,Cash cards for Syrian refugees (AA-S05 321.50 SYR 26/16),Full,0.99141216
161350,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
161548,"Cash Assistance for essential needs, including food, shelter and NFIs (part of MEU-17/0011-3)",Full,0.99107015
161571,"Cash Assistance for essential needs, including food, shelter and NFIs (State/PRM)",Full,0.98870635
161692,Strengthen capacity of ASEAN Member States (AMS) to develop risk informed and shock responsive social protection systems for resilience (ECHO/-XA/BUD/2017/91030),Full,0.81539196
161877,Emergency measures to secure access to food and drinking water trhough mobile cash transfers,Full,0.9647047
161975,"Improvement of nutrition status and current living conditions of IDP's and host communities in Wau sity and district by voucher distributions for FoodFinancial year 2016: 284211.94 € , 2017: originally 500000.00 € + top up in 2017 500000.00 € = total amount 1000000.00 € , 2018: 114000.00 €",Partial,0.43175086
162110,"To save lives and alleviate suffering (NFI, cash transfers, shelter, capacity building )",Partial,0.023619844
162112,"To save lives and alleviate suffering - NFI, shelter, cash transfers, emergency preparadeness",Partial,0.021010468
162286,"Multilateral contribution. Support to the UNHCR project called “Return and Re-integration of Somali Refugees From Kenya to Somalia”. The project aims 1) to strengthen access to education for the returnee children of school going age, 2) to improve livelihoods of returnees, 3) to reinforce access to social and basic services through community-based projects by rehabilitating health, education and other basic infrastructures in the areas of return through cash for work,  4) to reduce the risk of SGBV",Full,0.9103174
154036,"Multi-Purpose Cash and Protection for South Sudanese refugees in Bidibidi Settlement, Uganda",Full,0.81270415
154037,Linking humanitarian action to Social Protection systems in fragile and forced displacement contexts (ECHO/ERC/BUD/2016/91017),Full,0.797998
163225,"Protect lhousehold livelihoods: Food (Cash and Cash for Work),  	Disaster preparedness ( Animal vaccination",Partial,0.06630559
163305,"WASH, CASH & Livestock Support in Borena Zone",Partial,0.028240824
163308,"Support to IFRC DREF operation responding to floods in Bangladesh:WASH, Health, Cash, NFI (D000396)",Partial,0.08502944
163340,"Emergency food, water and healthcare assistance in Yemen (including cash-transfer programming)",Partial,0.07603142
163341,"Emergency food, water and healthcare assistance in Nigeria (including cash-transfer programming)",Partial,0.081028804
163342,"Emergency food and nutrition assistance to South Sudanese refugees
 (including cash-transfer programming)",Partial,0.17026119
163343,Emergency food and nutrition assistance in Somalia (including cash-transfer programming),Partial,0.33356842
163344,"Providing an additional two months of mixed restricted vouchers (for local purchase of food) and unrestricted vouchers to 575 out of 900 families (at least 5,400 individuals, drawn from settlement and IDP camps), and provision of livelihoods assistance to 100 returnee IDP households (60 female-headed and 40 male-headed) in Bay, Somalia (through ADRA New Zealand),  (66% of budget is cash transfers (mixed restricted and unrestricted vouchers)",Partial,0.1378239
163346,"Increasing provision of cash transfers from 200 to 475 households (approx. 2,850 people) in four villages in Cynabo District, Sool region, for food security, improved water access and child nutrition. (50% of budget is cash transfers)",Partial,0.27359885
163356,"""""""""Health, shelter, NFI, WASH, food security and livelihoods
(including unconditional cash) and disaster risk reduction (DRR) assistance to those affected by flooding in Bangladesh.""""""""",Partial,0.050181642
163362,Gaza: Follow up Project for Cash for Work Participants,Full,0.979313
163503,Disaster-affected people within the Great Lakes region are assisted by the Red Cross National Society with quick and well-targeted cash-transfers in order to increase their capacities to cope with the impact of the crisis situation.,Full,0.90965307
163504,Disaster-affected people within the Great Lakes region are assisted by the Red Cross National Society with quick and well-targeted cash-transfers in order to increase their capacities to cope with the impact of the crisis situation.,Full,0.90965307
163505,Disaster-affected people within the Great Lakes region are assisted by the Red Cross National Society with quick and well-targeted cash-transfers in order to increase their capacities to cope with the impact of the crisis situation.,Full,0.90965307
163506,Disaster-affected people within the Great Lakes region are assisted by the Red Cross National Society with quick and well-targeted cash-transfers in order to increase their capacities to cope with the impact of the crisis situation.,Full,0.90965307
163599,Emergency cash distribution to the most vulnerable food insecure populations in four Tarai districts severely affected by flooding,Full,0.9912019
163604,Emergency food distribution and food security cash assistance for the worst flood-affected households,Partial,0.06417652
163733,"Cash et bons alimentaires;  permet de faire fonctionner les marchés dans le Jubaland, à la frontière avec le Kenya, région en phase 3",Partial,0.31415755
163736,"Cash for assets/ le cash permettra la restauration de terres, points d'eau, pistes, améliorant les activités économiques dans les zones délaissées du Batha et Barh el Ghazal",Full,0.95679146
163742,Transferts monétaires+ coupons + P4P (achats aux producteurs locaux et redistribution). poursuite des appuis aux achats auprès d'organisations paysannes locales pour fournir des cantines scolaires,Partial,0.2773921
163743,"Renforcement de la résilience (coupons, couts prime d'assurance, renforcement des capacités). poursuite des appuis au projet résilience 4R au Sénégal oriental, zone délaissée, avec des aspects climat (restauration des terres contre coupons et assurance perte récolte)",Partial,0.19964136
163745,UNRWA: Cash/permet de faire fonctionner marchés et appuie la résilience des réfugiés palestiniens de Syrie exclus du plan de réponse jordanien.,Full,0.9158244
163747,"UNRWA: Cash/permet de faire fonctionner marchés et appuie la résilience des réfugiés palestiniens de Syrie exclus du plan de réponse jordanien. CICR: Colis alimentaires/appui aux ménages réfugiés et pop hotes, ciblage sur les femmes. PAM: distribution de vivres",Full,0.7178562
163753,Cash/ renforcement de la résilience face à la sècheresse,Full,0.98721063
163756,"Multilateral contribution to the WFP project called “Soutien au programme de repas scolaires dans les zones affectés par l'insecurité au Mali”, to provide food assistance, through distribution of food to children affected by the conflict and food insecurity and  through cash transfer in favour of School Management Committees (SMC).",Full,0.9481952
163912,"Water, Health, Food, Cash, DRR",Partial,0.024636062
163992,Evaluation of cash-based programming (P005292),Full,0.9855355
164080,"Animal feed provision, drinking water, seed money",Partial,0.022573942
164257,"""""""""Thirty shops in the area close to the camps belonging to displaced Iraqis
- With furnished and equipped with all services of electricity and water 
- equipped with a cooling system 
- equipped by all means and other facilities
 was aimed at: 1 Providing employment opportunities for a displaced families and refugees which the poorest and needed in the camps and enable you Integrating them socially and providing them with fixed income sources
2. Providing shopping centers and shops for various needs at affordable and acceptable prices within refugee and displaced communities, thus saving a lot of money, effort and time on refugees and displaced persons""""""""",Partial,0.46361205
164417,Cash support to IDPs,Full,0.992423
154406,Provision of multi-purpose unconditional Cash grants and Cash for Work.,Full,0.9708926
164557,"Life-saving food/cash assistance to 18,000 undocumented Afghan returnees from Iran",Partial,0.11629027
164560,Emergency food assistance and sustaining the e-voucher programme,Partial,0.14387889
164561,emergency food assistance and sustaining the e-voucher programmre,Partial,0.16828345
164562,emergency food assistance and sustaining the e-voucher programmre (UN Other Funds and Agencies (excl. CERF),Partial,0.22944763
164563,emergency food assistance and sustaining the e-voucher programmre (UN Other Funds and Agencies (excl. CERF),Partial,0.22944763
164859,Distribution of cash to 2000 flood affected households in Dinajpur Rangpur division,Full,0.9913872
165226,"Cash Assistance for essential needs, including food, shelter and NFIs",Full,0.9905794
165293,Enhanced efficiency and effectiveness of cash and market based response by providing training to national/local authorities as well as documenting/sharing good practices and developing monitoring tools to have coordinated and harmonized response,Full,0.7937707
165460,Implementation of SDC/HA Operational Concept on Cash Transfer Programming (CTP) Portion of multiyear 2017-2020; total amount 600 000 CHF. (7F-07880.05),Full,0.9358515
166664,"Provision of life-saving Emergency Shelter and Non-Food Items, and distribution of cash vouchers in CES and EES.",Partial,0.18695436
166700,"Provision of life-saving ES and NFIs to vulnerable conflict affected IDPs through Cash-Based Intervention modality to vulnerable communities in three IDP camps in Kajokeji, Central Equatoria State",Full,0.98251224
168811,"Provide support to  10 public  schools  in 2 Bay regional towns of Berdale and Bur hakaba  through the provision of clean drinking water, provision of school cash grants, emergency teacher incentives, Construction of 2 temporary learning space (TLS) with 2 twin latrine",Partial,0.048424963
185026,WFP Cash & Voucher Project: Food Assistance,Full,0.9202058
155701,X: Supporting a return to learning for extremely vulnerable and food insecure crisis-affected children in Syria through school feeding and voucher support,Full,0.74265134
156173,"Damascus: Early Recovery and Livelihood - Increased access to livelihood opportunities and social protection for vulnerable children and youth in 7 Governorates of Syria (Damascus, Rural Damascus, Homs, Hama, Aleppo, Al Hasakeh and Tartous)",Partial,0.09482339
149995,Enhancing Access to Food for Internally Displaced Persons (IDPs) through the Provision of Unconditional Cash Transfers in Kaxda District,Full,0.9623252
159861,IDPs working with Government as Cash for Work Program,Full,0.9758465
160366,Addressing the increasing vulnerabilities of the communities affected by the Syria crisis in Mount Lebanon with Multipurpose Cash Assistance,Full,0.97182006
160413,Water Voucher Program in Shokat Al Sofi Area,Full,0.98459744
160651,"Cash-based assistance to support vulnerable conflict-affected families in Shirqat, Salah Ad Din",Full,0.9907974
162693,Cash assistance to the most vulnerable population affected by the conflict in the Eastern Ukraine,Full,0.9922753
164453,"Improving Livelihoods for IDPs through Cash Transfers in Kousseri, Mora and  Mokolo",Full,0.9067216
164454,"Improving Livelihoods for IDPs through Cash Transfers in Kousseri, Mora and  Mokolo",Full,0.9067216
157940,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2018 portion of multiyear award 2016-2018; total EUR 11.5 million),Full,0.65835017
157948,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2018 portion of multiyear award 2016-2018),Full,0.7055581
157949,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2018 portion of multiyear award 2016-2018),Full,0.7055581
157950,SomReP Consortium - Bay and Lower Shabelle Resilience & Social Protection Programme (2018 portion of multiyear award 2016-2018),Full,0.7055581
161976,"Improvement of nutrition status and current living conditions of IDP's and host communities in Wau sity and district by voucher distributions for FoodFinancial year 2016: 284211.94 € , 2017: originally 500000.00 € + top up in 2017 500000.00 € = total amount 1000000.00 € , 2018: 114000.00 €",Partial,0.43175086
162929,"Measures are on the one hand Capacity Development activities, like the strengthening of the local structures, reinforced inclusion of women as well as from traditional knowledge for the environment protection in the processes. Above all, however, conditioned transfer achievements (Cash for Assets, CSA) are used in the area of Rereforestation, water management and food.",Partial,0.42944676
165461,Implementation of SDC/HA Operational Concept on Cash Transfer Programming (CTP) Portion of multiyear 2017-2020; total amount 600 000 CHF. (7F-07880.05),Full,0.9358515
167571,"Cash Project, diversication of livelihoods and market internevtions to strengthen vulnerable households; 2017: 90.000,00 € 2018: 405.000,00 € (AA-S09 321.50 SSD 13/17)",Full,0.93547446
167838,"Cash for Health for vulnerable Syrians and Jordanians1.562.605,71 No decimal places were accepted!!!2018: 562.605,71 € 2019: 1.000.000,00 €",Full,0.95770246
