id,text
182738,"Agriculture and Food Security, ERMS, Health, Multipurpose Cash Assistance, Nutrition, Protection, Shelter and Settlements, WASH thrugh Implementing Partners (IPs) ( USAID/OFDA)"
182783,"Emergency food asssitance for the population affected by the conflict 2017: 183.000.000,00 € 2018: 102.000.000,00 € Top up financial year 2018: 51.000.000,00 € (2018 portion) Provision of general food assistance in the form of regular in-kind monthly food rations and ready-to-eat rations in the initial phase of displacement. The overall objective of the project: saving lives, sustaining lives and protecting livelihoods through the provision of emergency and regular food assistance to the most vulnerable families affected by the crisis. This contributes to SO1.
Based on the Food and Agriculture Sector 2018 sector strategy, approximately 6.5 million people are facing acute food insecurity with an additional 4 million at risk of falling into a situation of being food insecure. IDPs and people in besieged and Hard to Reach areas in addition to female headed households are between the most vulnerable groups that need food assistance to meet their minimum consumption needs. Women are increasingly becoming family breadwinners, heading more than third of the households.  Assistance to vulnerable groups with focus on female headed household will be prioritized. In addition, if the situation changed allowing a significant number of returnees among the IDPs and refugees, WFP will consider this group in the emergency general food assistance. WFP will consider various modalities as appropriate: including in-kind food assistance (Main modality for GFD) as well as cash based transfer (CBT). 
Emergency general food assistance is one of the four main activities/projects of WFP in 2018.  It will be complemented by i) nutrition project, targeting women and children to prevent and respond to undernutrition, ii) livelihood project to re build livelihood and resilience, and iii) school meals project, targeting pupils to support their learning. 

The emergency general food assistance project is aligned with the objectives 1 and 4 of the Food Security Cluster:
1. Improve the food security status of assessed food insecure people by emergency life saving and regular life sustaining food assistance
4: Strengthen the effectiveness and quality of the WoS response based on evidence, capacity building and strong coordination within the Food Security and Agriculture Sector and cross sectors."
182785,"Humanitarian aid (QZA-18/0148-4) W - Supporting access to primary education for vulnerable and food insecure crisis affected girls and boys in Syria through nutritious school meals and voucher support. Increase enrolment, attendance and address short term hunger in primary school children through the provision of fortified nutritious school meals and targeted voucher support"
182789,"Humanitarian aid (QZA-18/0148-4) Provision of general food assistance in the form of regular in-kind monthly food rations and ready-to-eat rations in the initial phase of displacement. The overall objective of the project: saving lives, sustaining lives and protecting livelihoods through the provision of emergency and regular food assistance to the most vulnerable families affected by the crisis. This contributes to SO1.
Based on the Food and Agriculture Sector 2018 sector strategy, approximately 6.5 million people are facing acute food insecurity with an additional 4 million at risk of falling into a situation of being food insecure. IDPs and people in besieged and Hard to Reach areas in addition to female headed households are between the most vulnerable groups that need food assistance to meet their minimum consumption needs. Women are increasingly becoming family breadwinners, heading more than third of the households.  Assistance to vulnerable groups with focus on female headed household will be prioritized. In addition, if the situation changed allowing a significant number of returnees among the IDPs and refugees, WFP will consider this group in the emergency general food assistance. WFP will consider various modalities as appropriate: including in-kind food assistance (Main modality for GFD) as well as cash based transfer (CBT). 
Emergency general food assistance is one of the four main activities/projects of WFP in 2018.  It will be complemented by i) nutrition project, targeting women and children to prevent and respond to undernutrition, ii) livelihood project to re build livelihood and resilience, and iii) school meals project, targeting pupils to support their learning. 

The emergency general food assistance project is aligned with the objectives 1 and 4 of the Food Security Cluster:
1. Improve the food security status of assessed food insecure people by emergency life saving and regular life sustaining food assistance
4: Strengthen the effectiveness and quality of the WoS response based on evidence, capacity building and strong coordination within the Food Security and Agriculture Sector and cross sectors."
182836,"Early Recovery support to 30,000 Internally Displaced Populations in the Far North Region Early Recovery support to 30,000 Internally Displaced Populations in the Far North Region The objective of the Project is to provide seasonal unconditional food assistance (in kind and cash) to Internally Displaced Population in the Far North region"
182837,"Early Recovery support to 30,000 Internally Displaced Populations in the Far North Region (USAID/FFP) Early Recovery support to 30,000 Internally Displaced Populations in the Far North Region The objective of the Project is to provide seasonal unconditional food assistance (in kind and cash) to Internally Displaced Population in the Far North region"
182857,Provision of NFI assistance to most vulnerable Palestine refugees in South-West and Central Syria X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution
182905,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Protection (USAID/OFDA)"
182909,"Health,Water, Sanitation and Hygiene,Economic Recovery and Market Systems,Nutrition,Multipurpose Cash Assistance,Protection,Agriculture and Food Security (USAID/OFDA)"
182914,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Shelter and Settlements,Agriculture and Food Security (USAID/OFDA)"
182992,"Somalia:UNICEF Integrated Emergency and Resilience Support Unconditional   cash assistance for drought and conflict affected communities in central and southern regions of Somalia, supporting immediate lifesaving needs, crisis recovery and resilience building. 1) To provide unconditional, multi purpose cash assistance to IDPs and other vulnerable drought and conflict-affected people to meet immediate lifesaving needs. 
2) To initiate crisis recovery and resilience building with predictive monthly cash assistance to identified vulnerable households in target areas, linking to social protection and safety net programming, where possible."
183020,"2018 Humanitarian Response Plan for Syria W - Provision of NFIs and seasonal items to IDPs, returnees and affected host communities UNHCR’s project aims to provide life-saving and life-sustaining NFI support through distribution of NFIs and vouchers to IDPs, returnees and affected host communities."
183032,"Ukraine HRP (ECHO/UKR/BUD/2018/91009) Provision of shelter assistance to internally displaced and conflicted affected communities in Ukraine The overall aim of the project is to improve living conditions of the affected population, support returns of IDPs to the places of their previous residence and, to prevent further displacement of those who are the most affected with on going conflict. Delivery priority will be to populations at the line of contact and in non Government controlled areas of Ukraine.
In continuity with the 2017 plan, UNHCR objectives include:

-   Urgent assistance in repairing damaged houses and apartments on both sides of the line of contact.
-   Provision of emergency shelter kits.
-   Procurement and distribution of NFIs to address individuals’ urgent needs and reduce long term vulnerability.
-   Distribution of NFI kits as a part of the response in emergency situations.
-   Winterization support – provision of winter clothes, coal, firewood or, if applicable, cash assistance for winterization purposes (fuel for heating).
-   Logistics and operational support will be provided in storage and delivery of necessary shelter and NFI assistance.

As part of its exit strategy (outside the humanitarian scope and set at 0 budget), UNHCR will be engaged in two additional activities not included in the 2017 plan: 

-   Protection guidance to state and development actors involved in the development of pilot projects on social housing.
-   Advocacy interventions for IDPs’ access to social housing."
183035,Food aid : Emergency cash distribution in SE RCA(USA/FFP)
183061,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Shelter and Settlements,Risk Management Policy and Practice (USAID/OFDA)"
183063,Construction of 340 Shelters and Latrines and Multi purpose cash distribution for 382 households (USAID/OFDA)
171155,"Assistance nutritionnelle pour la prise en charge de la malnutrition aigüe modérée chez les enfants de moins de cinq ans, les femmes enceintes et allaitantes Assistance nutritionnelle pour répondre aux besoins des populations vulnérables (enfants de moins de 5 ans, femmes enceintes et mères allaitantes affectés par la crise au Mali) pour la prévention et le traitement de la malnutrition aigue au Mali Contribuer à la réduction de la mortalité et morbidité liées à la malnutrition chez les populations les plus à risque. De façon spécifique, il s’agira de :
1. Fournir des suppléments nutritionnels aux enfants de 6-23 mois, femmes enceintes et allaitantes dans les zones vulnérables afin de prévenir la détérioration de leur état nutritionnel ;
2. Assurer une prise en charge adéquate aux enfants de 6-59 mois et femmes enceintes/allaitantes malnutris modérés.
3. Fournir du cash aux femmes pour incitations à la fréquentation des centres de santé ;
4. Fournir une assistance aux accompagnants des enfants malnutris sévères avec complications hospitalisés dans les URENI ;
5. Renforcer le système de dépistage/référencement des cas de malnutrition vers les structures de santé, le suivi/évaluation des activités de nutrition
6. Renforcer les capacités des structures de santé pour assurer la supervision et la coordination des interventions de nutrition"
183124,"Humanitarian Support to Protect Palestinians in the West Bank from forcible transfer Humanitarian Support to Protect Palestinians in the West Bank (including East Jerusalem) from Forcible Transfer. This Project contributes to the protection of Palestinians in the West Bank, including East Jerusalem, from forcible transfer (FT) through a protection-centered approach to humanitarian responses incorporating: emergency support (cash/in-kind); provision of material assistance and essential services; legal aid; advocacy; and community empowerment.  188 communities will be specifically targeted each year for medium-term resilience-building support based on their vulnerability to FT, initially assessed using the OCHA VPP, supplemented with in-depth protection assessments taking into consideration the specific needs of women, men, children, elderly, and people with disability. Emergency and legal aid activities will be implemented across the whole West Bank, based on needs and referrals. Within the framework of the HCT, the Project supports the implementation of the Area C Policy Framework and coordinates with other actors meeting humanitarian needs of communities at risk of FT. The Project provides a mechanism to respond to OCHA triggers and ICCG coordination of response to demolitions. Shelter, WASH, Education, Health, FSS, legal responses, settler violence interventions and advocacy will be coordinated through the relevant Clusters/WGs. The Project is built on an integrated protection approach envisaged to contribute to all HRP objectives: S1:  The rights of Palestinians living under occupation are protected, respected and promoted; S2:   The basic needs of vulnerable Palestinians living under occupation are met through the provision of essential services; S3:   The ability of vulnerable Palestinians to cope with the protracted crisis, including environmental threats, is supported, while solutions to violations and other root causes of threats and shocks are pursued. The Project further contributes to the three Shelter Cluster objectives (1. Support to the displaced; 2. Support to vulnerable households; 3. Increased response capacity)."
183215,"Delivering WASH services targeting 10,000 IDPs in Salamiyah 1 Camp from """"""""Fondation Suez
"""""""" Comprehensive WASH response for conflict-affected vulnerable populations in Ninewa and Salah al Din Through this intervention, ACTED will contribute to the WASH Cluster’s objectives 1, 2, and 3:
1.	Restore, improve standards, and sustain water and sanitation services and provide an enabling environment for good hygiene practices to vulnerable individuals in protracted displacement and return settings;
2.	Provide safe and accessible emergency water and sanitation services and support good hygiene practices for highly vulnerable populations in and out of camps, new displacement and at risk areas after shocks;
3.	Facilitate the establishment of sustainable, cost effective, and equitable water and sanitation services including community-focused hygiene promotion, and facilitate take over of care and maintenance to communities and local authorities;

The project it is planned to complement ACTED’s multi-sectoral interventions in areas with a high prevalence of new returnees, vulnerable non-displaced families and households in protracted displacement. ACTED’s strategy for 2018 is based on the application of an area-based approach that allows to simultaneously address the different needs of vulnerable population groups in conflict-affected areas. 
For example, ACTED’s programming aims at re-establishing public service provision through Quick Impact Projects and the rehabilitation of communal WASH infrastructures; favouring returns through emergency repairs on private housing and distribution of core NFIs lost or damaged during displacement and looting; supporting IDPs willing to return and newly displaced households with multi-purpose cash assistance; creating income-generating opportunities through livelihoods interventions; and addressing urgent gaps in child protection through community-based approaches. 
Additionally, ACTED will provide in-camp and off-camp CCCM support, including the establishment of Urban Displacement Resource Centres in priority urban return areas."
183219,"Cash for work and unconditional cash, distibution of livelihoods kits and training in Aweil East..from Tearfund"
183222,Unconditional cash grants for vulnerable host community households in Juba. from Tearfund
183223,Unconditional cash grants for vulnerable host community households in Juba. from Tearfund
183268,"Cash Assistance for essential needs, including food, shelter and NFIs X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution"
183275,"Cash Assistance for essential needs, including food, shelter and NFIs Lebanon n/a"
183282,"Cash Assistance for essential needs, including food, shelter and NFIs Lebanon n/a"
183287,"Cash Assistance for essential needs, including food, shelter and NFIs X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution"
183297,"Cash Assistance for essential needs, including food, shelter and NFIs X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution"
183300,Support to Palestine Refugees in Syria through providing essential services including quality healthcare and education and emergency cash assistance
183310,"unconditional cash transfers to 4,400 households; livelihood recovery assistance to 2,300 farmers through seed distribution and 1,900 herders through feed and fodder distributions; safe drinking water through the rehabilitation of 220 wells and 14 water networks and construction of 31 boreholes; and 21 small scale structural mitigation projects through community based Disaster Risk Reduction (ECHO/-AS/BUD/2018/91028)"
183324,Strengthening the resilience of Palestine refugees from Syria in Lebanon through cash assistance and health services
183325,"Cash Assistance for essential needs, including food, shelter and NFIs Lebanon n/a"
183359,Health; cash transfer
183368,W - Protecting Syrian children from the impact of harsh weather conditions through the provision of NFIs and e-vouchers W - Protecting Syrian children from the impact of harsh weather conditions through the provision of NFIs and e-vouchers Provision of basic need support to protect the most vulnerable children from harsh weather conditions through in-kind distribution of children clothes and e-vouchers.
183399,Multipurpose Cash Assistance (USAID/OFDA)
183424,"Cash Assistance for essential needs, including food, shelter and NFIs - Humanitarian Assistance in  Lebanon within the Syria 3RP plan Lebanon n/a"
183425,"Cash Assistance for essential needs, including food, shelter and NFIs Humanitarian Assistance in Jordan within the Syria 3RP plan Regional n/a"
183430,"Cash Assistance for essential needs, including food, shelter and NFIs X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution"
183431,"Cash Assistance for essential needs, including food, shelter and NFIs - X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution"
183432,"Cash Assistance for essential needs, including food, shelter and NFIs  (2018 portion) X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution"
183433,"Cash Assistance for essential needs, including food, shelter and NFIs; Emergency Health
Capacity and Management Support Lebanon n/a"
183439,Non Food Items (NFIs) X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution
183442,"Cash Assistance for essential needs, including food, shelter and NFIs X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution"
183447,"Cash Assistance for essential needs, including food, shelter and NFIs X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution"
183452,Non Food Items (NFIs) X-Provision of in-kind non food items (NFIs) and Cash assistance for NFI to vulnerable Palestine NFI needs of displaced and conflict affected Palestine refugees in Syria are met through cash for NFI and in-kind NFI distribution
183483,Multipurpose Cash Assistance (USAID/OFDA)
183486,"Health,Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Protection,Shelter and Settlements (USAID/OFDA)"
183495,"France 2018 Support for Job Creation Programmes in the Gaza Strip- Relieving Immediate Needs, Investing in Long-term Impact- Phase I Providing emergency Cash for Work opportunities to enable food insecure refugee households in camps to meet their basic needs Food insecure refugee households have increased economic access to cover basic food needs, through cash for work 

Country Strategic Objective 3:   The ability of vulnerable Palestinians to cope with the protracted crisis, including environmental threats, is supported, while solutions to violations and other root causes of threats and shocks are pursued.

Food Security Cluster Objective 2:   Households suffering from limited access to food are able to meet their basic food needs."
183496,"Multipurpose Cash Assistance
  (USAID/OFDA)"
183499,Multipurpose Cash Assistance  (USAID/OFDA)
171272,"Niger - OCHA Office  [OCT 5897];[11630] Strengthening humanitarian coordination, advocacy and quality of humanitarian assistance (i) expanding humanitarian access to deliver life-saving assistance and protection in Diffa, a complex operating environment where the security situation remains volatile; (ii) coordinate the provision of humanitarian assistance in other parts of the country during peaks of malnutrition, food insecurity, epidemics and  flooding; (iii) establishing an efficient humanitarian coordination mechanism in Diffa, (iv) optimizing the cooperation with the Government of Niger, capitalizing on their willingness to take the lead on humanitarian issues while considering how to further support them in terms of capacity building; (v) ensuring adequate funding for humanitarian activities in all humanitarian sectors, including by working closely with donors towards more support and funding tools to national  responders, and the scaling up of cash-based programming."
183562,"Emergency Cash for Work in Gaza Emergency Cash for Work HRP Strategic Objective 3:  The ability of vulnerable Palestinians to cope with the protected crisis, includes the environmental threats is supported, while solutions to violations and other root causes of threats and shocks are perused.

Food security cluster objective 1: The resilience, food security and the productive capacity of vulnerable households are restored/enhanced and livelihoods protected.

UNRWA Strategic Objective 1: crisis affected Palestine refugee households facing acute shocks have increased economic access to food"
183565,"Emergency Cash for Work Gaza Emergency Cash for Work HRP Strategic Objective 3:  The ability of vulnerable Palestinians to cope with the protected crisis, includes the environmental threats is supported, while solutions to violations and other root causes of threats and shocks are perused.

Food security cluster objective 1: The resilience, food security and the productive capacity of vulnerable households are restored/enhanced and livelihoods protected.

UNRWA Strategic Objective 1: crisis affected Palestine refugee households facing acute shocks have increased economic access to food"
183566,"Emergency Cash for Work in West Bank Emergency Cash for Work HRP Strategic Objective 3:  The ability of vulnerable Palestinians to cope with the protected crisis, includes the environmental threats is supported, while solutions to violations and other root causes of threats and shocks are perused.

Food security cluster objective 1: The resilience, food security and the productive capacity of vulnerable households are restored/enhanced and livelihoods protected.

UNRWA Strategic Objective 1: crisis affected Palestine refugee households facing acute shocks have increased economic access to food"
183571,"W - Supporting access to primary education for vulnerable and food insecure crisis affected girls and boys in Syria through nutritious school meals and voucher support. W - Supporting access to primary education for vulnerable and food insecure crisis affected girls and boys in Syria through nutritious school meals and voucher support. Increase enrolment, attendance and address short term hunger in primary school children through the provision of fortified nutritious school meals and targeted voucher support"
183589,"Argent contre travail, permettant de couvrir les besoins alimentaires basiques de la famille et restaurer leurs capacités d'adaptation et de résilience Emergency Food Assistance HRP Strategic Objective 3: Palestinians to cope with the protected crisis, includes the environmental threats is supported, while solutions to violations and other root causes of threats and shocks are perused.

Food security cluster objective 2: Households suffering from limited access to food and to income opportunities are able to meet their basic food needs.

UNRWA Strategic Objective 2: crisis affected Palestine refugee households facing acute shocks have increased economic access to food"
183592,"Cash transfer/promotion d'une agriculture """"""""nutrition sensitive"""""""" par création de jardins vivriers et éducation nutritionnelle"
183593,Transfert monétaire via des bons d'achat électroniques Lebanon n/a
183596,Cantines Scolaires – Transfert d’espèces dans les écoles cibles et appui aux filles adolescentes vulnérables à Maradi et Zinder.
183597,"Aide alimentaire sous forme de"""""""" cash for food"""""""" dont le montant couvre deux tiers des besoins alimentaires. X - Provision of in kind food rations to 418,000 affected Palestine refugees Food needs of displaced and conflict affected Palestine refugees partially met through the provision of in kind food assistance"
183601,Coupons d'achat dans les zones urbaines et péri-urbains et distributions de vivres dans les zones rurales.
183602,"Providing life-saving assistance and protection services to refugees and asylum seekers, as well as the most vulnerable IDPs and IDP returnees across Yemen. UNHCR will assist vulnerable IDP/returnee families with core relief items (in kind/cash) and provide legal assistance, including support to obtain appropriate documentation, for refugees and asylum seekers residing in Yemen."
183614,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Protection,Agriculture and Food Security ( USAID/OFDA)"
183622,Venezuela Regional/CE: Multipurpose Cash Assistance (USAID/OFDA)
183625,"Venezuela Regional/CE: Multipurpose Cash Assistance,Protection ( USAID/OFDA)"
183626,"Venezuela Regional/CE: Health,Water, Sanitation and Hygiene,Multipurpose Cash Assistance ( USAID/OFDA)"
183705,"Humanitarian assistance in the areas of WASH and cash for work and unconditional cash transfers for Malian refugees and host communities; 2018: 25.460,54 € 2019: 681.098,95 € 2020: 508.440,51 € (2018 portion)"
183787,"Economic Recovery and Market Systems,Multipurpose Cash Assistance,Shelter and Settlements ( USAID/OFDA)"
183821,"Multi-sector emergency and cash response for Nigerian refugees, IDPs, returnees and vulnerable host populations living in areas bordering Nigeria, Far North Cameroon Physical protection and dignity of refugees through access to shelter and CRI in in the Logone et Chari and Mayo Sava, Far North Cameroon Improved access to adequate shelter, infrastructure and core relief items for refugees and vulnerable host communities in the Logone et Chari and Mayo Sava."
183912,"Food emergency and cash help for especially vulnerable persons in Niger; 2018: 4.000.000,00 € 2019: 1.000.000,00 € (2018 portion)"
184052,"Funding source: Evangelical Church of America, Church of Sweden, Australian Lutheran World Service (Pool Fund). The fund was used for strengthening the capacity of vulnerable household to increase household food production. Seeds and tools were distributed. Demonstration plots set up. Farming and fishing cooperative established and VSLA groups set up and supported. Support crisis and vulnerable food insecure households through cash based intervention in Duk, Ayod and Uror Counties, Jonglei state The overall project objective is to avert emergency food insecurity in hard to reach areas on Uror, Ayod and Duk Counties in Jonglei State.                                                                                                                                                                                                                 SO1:  Improve access to food for most vulnerable, IDPS, Returnees and Host Communities through unconditional Cash transfers 
SO2: Improve food production capacities of Vulnerable IDPS, Returnees and Host communities through promoting agricultural production and improved farming practices"
184085,WES GFD/CASH/Nutrition Project.
184106,"(GAZA) Food Assistance to Vulnerable Food-Insecure Non- Refugee Populations In the Gaza Strip (part of ECHO/PSE/BUD/2018/91006) Country Strategic Plan for food assistance to the poor and severely food insecure population in the West Bank and the Gaza Strip WFP is committed to the Sustainable Development Goals (SDGs) and is guided by a strategic, programmatic and governance instrument to operationalize its plan and achieve its project objectives to: 
• End Hunger by protecting access to food and by improving dietary diversity;
• Support the implementation of the SDGs by enhancing the capacities of national institutions to implement food security strategies and operations;
This project directly contributes to strategic objectives two and three of the Humanitarian Response Plan 2018 2020, by meeting the basic food needs of severely vulnerable Palestinians and by improving their dietary diversity. 
WFP’s interventions focus on high food insecurity levels, including the malnutrition levels recorded by national surveys. By assisting the poor and severely food insecure Palestinian households in Gaza and Bedouin and herding communities in West Bank’s Area C, and by disseminating information on food and nutrition practices, WFP addresses the basic needs of vulnerable Palestinians and tackles one of the or root causes of some of the food insecurity levels recorded by the government institutions.
These interventions aim at improving the overall food security levels including nutrition and health status of the vulnerable Palestinians and therefore at increasing their coping abilities to sudden shocks in the market for access to food. 
The project also contributes to the Food Security Sector’s three objectives as well as to the National Policy Agenda 2017-2022 (policies on escaping poverty and strengthening social protection as well as meeting the basic needs of the communities) to ensure that the vulnerable Palestinians households basic food needs are met, by assisting households in enhancing their food security levels and by strengthening national institutions in implementing food security strategies and social security safety net programs to best identify and target food insecure and vulnerable Palestinians."
184241,Emergency Distribution of Cash Transfer to Afghan Returnees and IDPs in Eastern Afghanistan
184350,"Extension of the Burundi Emergency Aid System in humanitarian emergencies for vulnerable displaced persons2018: 300.000,00 €    2019: 1.000.000,00 € (2018 portion) Emergency assistance to vulnerable people affected by natural disasters To provide comprehensive shelter to IDPs and host communities affected by natural disasters, as well as Burundian returnees from Tanzania. Activities include: i) preposition shelter and Non-Food non-food item (NFI) kits  to repair affected houses in disaster-prone areas, respond to emergencies and support affected populations; ii) provision of rental and shelter repair cash grants through bank and/or phone transfers, reaching 1,000 of the most vulnerable of the 26,000 IDP households living in urban areas throughout the country; iii) seek durable shelter solutions for the 3,000 people (600 households) living in collective sites by improving traditional construction mechanisms; iv) provision of semi-permanent shelter, repair shelter kits, cash grants and NFI kits to 15% of the most vulnerable returnees from Tanzania, targeting the provinces of Makamba, Rutana, Ruyigi and Muyinga, where the biggest returnee population is concentrated in Burundi; v) train civil servants and host communities using a shelter risk reduction approach; and vi) conduct sensitization sessions to increase awareness of safe construction mechanisms aiming to prevent landslides and the destruction of houses due to poor construction techniques and usage of low-quality materials."
184356,"Emergency relief, including cash transfers for vulnerable agro-pastoral households in the areas of food security and livestock security in the Kayes areaNew allocation to the financial years as follows :   2018: 346.663,00 €    2019: 148.337,00 € (2018 portion) Appui à la sécurité alimentaire et le renforcement de la résilience  des populations agropastorales et transhumants victimes des aléas agro climatiques dans le sahel occidental Objectif Globale : Amélioration de la sécurité alimentaire des populations affectées par les effets négatifs de la campagne agricole 2017 2018 dans les cercles de Yélimané, Diéma et Nioro dans la région de Kayes, cercle de Nara dans la région de Koulikoro

Objectif spécifique : Contribuer à l’amélioration des conditions alimentaires et au soutien des moyens de production des ménages polygames et soutenus par les femmes (Appui alimentaire, semences améliorées, équipements agricoles, aménagements hydro agricoles et pastoraux, fourniture d’aliment bétail),"
184410,"Multi-Purpose Cash and Education to Reduce the Impact of Super Typhoon Mangkhut / Ompong in the Philippines2018: 401.590,78 €    2019: 98.409,22 € (2018 portion)"
184562,"Cash Assistance, Health, Livelihoods, Shelter and Settlements, WASH (STATE/PRM)"
184630,"Winterization Cash Assistance for IDPs in Saada, Amanat Al Asimah, Ibb, Lahj."
184653,Cash for Health Assistance to Syrian Refugees and Vulnerable Jordanians. Jordan n/a
184666,"Humanitarian Assistance for Food Security Sector (USAID/FFP) W - Supporting access to primary education for vulnerable and food insecure crisis affected girls and boys in Syria through nutritious school meals and voucher support. Increase enrolment, attendance and address short term hunger in primary school children through the provision of fortified nutritious school meals and targeted voucher support"
