COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE
AFG,ECU_XDC,EOP_RT,A,1995,0.0160188638140274
AFG,ECU_XDC,EOP_RT,A,1996,0.0168019150822811
AFG,ECU_XDC,EOP_RT,A,1997,0.0190657860180105
AFG,ECU_XDC,EOP_RT,A,1998,0.0180438239373879
AFG,ECU_XDC,EOP_RT,A,2003,
AFG,ECU_XDC,PA_RT,A,1978,0.0224723215534712
AFG,ECU_XDC,PA_RT,A,1979,0.021557233066252
AFG,ECU_XDC,PA_RT,A,1980,0.0209169125110454
AFG,ECU_XDC,PA_RT,A,1981,0.0232030432631289
AFG,ECU_XDC,PA_RT,A,1982,0.0259481723827712
AFG,ECU_XDC,PA_RT,A,1983,0.0285661831715169
AFG,ECU_XDC,PA_RT,A,1984,0.0322697488883543
AFG,ECU_XDC,PA_RT,A,1985,0.0334044100276079
AFG,ECU_XDC,PA_RT,A,1986,0.0259486131180206
AFG,ECU_XDC,PA_RT,A,1987,0.0220568269420226
AFG,ECU_XDC,PA_RT,A,1988,0.0215059729587312
AFG,ECU_XDC,PA_RT,A,1989,0.023095401389043
AFG,ECU_XDC,PA_RT,A,1990,0.0200004422254196
AFG,ECU_XDC,PA_RT,A,1991,0.020524298200033
AFG,ECU_XDC,PA_RT,A,1992,0.0196332505725924
AFG,ECU_XDC,PA_RT,A,1993,0.0217190880513186
AFG,ECU_XDC,PA_RT,A,1994,0.0216741044998974
AFG,ECU_XDC,PA_RT,A,1995,0.0209052724359782
AFG,ECU_XDC,PA_RT,A,1996,0.0166034254873027
AFG,ECU_XDC,PA_RT,A,1997,0.0185640168324582
AFG,ECU_XDC,PA_RT,A,1998,0.0187966568266168
AFG,ECU_XDC,PA_RT,A,2003,
AGO,ECU_XDC,EOP_RT,A,1976,
AGO,ECU_XDC,EOP_RT,A,1979,23181007.1344957
AGO,ECU_XDC,EOP_RT,A,1980,25522826.9621039
AGO,ECU_XDC,EOP_RT,A,1981,30800492.2263623
AGO,ECU_XDC,EOP_RT,A,1982,34540347.4202633
AGO,ECU_XDC,EOP_RT,A,1983,40397261.5475534
AGO,ECU_XDC,EOP_RT,A,1984,47150083.4589482
AGO,ECU_XDC,EOP_RT,A,1985,37644660.6194936
AGO,ECU_XDC,EOP_RT,A,1986,31226358.5239615
AGO,ECU_XDC,EOP_RT,A,1987,25644233.6689032
AGO,ECU_XDC,EOP_RT,A,1988,28504770.7351598
AGO,ECU_XDC,EOP_RT,A,1989,27923721.106139
AGO,ECU_XDC,EOP_RT,A,1990,24517490.0345107
AGO,ECU_XDC,EOP_RT,A,1991,4143154.26620595
AGO,ECU_XDC,EOP_RT,A,1992,1501512.77411993
AGO,ECU_XDC,EOP_RT,A,1993,137366.316817552
AGO,ECU_XDC,EOP_RT,A,1994,1596.39182120854
AGO,ECU_XDC,EOP_RT,A,1995,133.678150240039
AGO,ECU_XDC,EOP_RT,A,1996,3.95106273655827
AGO,ECU_XDC,EOP_RT,A,1997,3.45162985888762
AGO,ECU_XDC,EOP_RT,A,1998,1.23055511417936
AGO,ECU_XDC,EOP_RT,A,1999,
AGO,ECU_XDC,PA_RT,A,1976,
AGO,ECU_XDC,PA_RT,A,1978,26236710.1575597
AGO,ECU_XDC,PA_RT,A,1979,24387647.9924145
AGO,ECU_XDC,PA_RT,A,1980,24029111.3856742
AGO,ECU_XDC,PA_RT,A,1981,29906672.5996706
AGO,ECU_XDC,PA_RT,A,1982,34064829.1089468
AGO,ECU_XDC,PA_RT,A,1983,37501760.5740397
AGO,ECU_XDC,PA_RT,A,1984,42363811.4104826
AGO,ECU_XDC,PA_RT,A,1985,43853397.5453004
AGO,ECU_XDC,PA_RT,A,1986,34065407.707344
AGO,ECU_XDC,PA_RT,A,1987,28956260.5559263
AGO,ECU_XDC,PA_RT,A,1988,28233097.9944942
AGO,ECU_XDC,PA_RT,A,1989,30319703.8278755
AGO,ECU_XDC,PA_RT,A,1990,26256633.2789068
AGO,ECU_XDC,PA_RT,A,1991,14630590.3972833
AGO,ECU_XDC,PA_RT,A,1992,3067115.58816365
AGO,ECU_XDC,PA_RT,A,1993,320674.729274991
AGO,ECU_XDC,PA_RT,A,1994,14136.8633720474
AGO,ECU_XDC,PA_RT,A,1995,277.957202262663
AGO,ECU_XDC,PA_RT,A,1996,6.16002377567777
AGO,ECU_XDC,PA_RT,A,1997,3.84994096539186
AGO,ECU_XDC,PA_RT,A,1998,2.27288122907331
AGO,ECU_XDC,PA_RT,A,1999,
AIA,ECU_XDC,EOP_RT,A,1976,
AIA,ECU_XDC,EOP_RT,A,1979,0.256862730166609
AIA,ECU_XDC,EOP_RT,A,1980,0.282811828537861
AIA,ECU_XDC,EOP_RT,A,1981,0.341292269047522
AIA,ECU_XDC,EOP_RT,A,1982,0.38273263485905
AIA,ECU_XDC,EOP_RT,A,1983,0.447631581844334
AIA,ECU_XDC,EOP_RT,A,1984,0.522457850712894
AIA,ECU_XDC,EOP_RT,A,1985,0.417130724597782
AIA,ECU_XDC,EOP_RT,A,1986,0.346011183081437
AIA,ECU_XDC,EOP_RT,A,1987,0.284157104780091
AIA,ECU_XDC,EOP_RT,A,1988,0.31585397439056
AIA,ECU_XDC,EOP_RT,A,1989,0.309415514093877
AIA,ECU_XDC,EOP_RT,A,1990,0.271671950686108
AIA,ECU_XDC,EOP_RT,A,1991,0.27621028441373
AIA,ECU_XDC,EOP_RT,A,1992,0.305863713246652
AIA,ECU_XDC,EOP_RT,A,1993,0.330696688634848
AIA,ECU_XDC,EOP_RT,A,1994,0.301104330241594
AIA,ECU_XDC,EOP_RT,A,1995,0.281813344876408
AIA,ECU_XDC,EOP_RT,A,1996,0.295589246817908
AIA,ECU_XDC,EOP_RT,A,1997,0.335416605872407
AIA,ECU_XDC,EOP_RT,A,1998,0.317437643342936
AIA,ECU_XDC,PA_RT,A,1976,
AIA,ECU_XDC,PA_RT,A,1978,0.290722183145879
AIA,ECU_XDC,PA_RT,A,1979,0.270233204680392
AIA,ECU_XDC,PA_RT,A,1980,0.266260353495038
AIA,ECU_XDC,PA_RT,A,1981,0.331388085495165
AIA,ECU_XDC,PA_RT,A,1982,0.377463539733878
AIA,ECU_XDC,PA_RT,A,1983,0.415547286242267
AIA,ECU_XDC,PA_RT,A,1984,0.469422411029192
AIA,ECU_XDC,PA_RT,A,1985,0.48592812880011
AIA,ECU_XDC,PA_RT,A,1986,0.377469951032711
AIA,ECU_XDC,PA_RT,A,1987,0.320856816041556
AIA,ECU_XDC,PA_RT,A,1988,0.312843639184918
AIA,ECU_XDC,PA_RT,A,1989,0.335964777452733
AIA,ECU_XDC,PA_RT,A,1990,0.290942946088272
AIA,ECU_XDC,PA_RT,A,1991,0.298563387619622
AIA,ECU_XDC,PA_RT,A,1992,0.285601473132399
AIA,ECU_XDC,PA_RT,A,1993,0.315943787281366
AIA,ECU_XDC,PA_RT,A,1994,0.311613119847186
AIA,ECU_XDC,PA_RT,A,1995,0.283128192801239
AIA,ECU_XDC,PA_RT,A,1996,0.292097300239585
AIA,ECU_XDC,PA_RT,A,1997,0.326589185015469
AIA,ECU_XDC,PA_RT,A,1998,0.330681925653444
ALB,ECU_XDC,EOP_RT,A,1992,0.00802557848169057
ALB,ECU_XDC,EOP_RT,A,1993,0.00904641397481346
ALB,ECU_XDC,EOP_RT,A,1994,0.00850488222253692
ALB,ECU_XDC,EOP_RT,A,1995,0.0080740240998122
ALB,ECU_XDC,EOP_RT,A,1996,0.00774319361995102
ALB,ECU_XDC,EOP_RT,A,1997,0.00607231350312122
ALB,ECU_XDC,EOP_RT,A,1998,0.00609675371337265
ALB,ECU_XDC,PA_RT,A,1992,0.0102771995796152
ALB,ECU_XDC,PA_RT,A,1993,0.0083580965159553
ALB,ECU_XDC,PA_RT,A,1994,0.00889162740255119
ALB,ECU_XDC,PA_RT,A,1995,0.00824667461973995
ALB,ECU_XDC,PA_RT,A,1996,0.0075470898245058
ALB,ECU_XDC,PA_RT,A,1997,0.00592072470799279
ALB,ECU_XDC,PA_RT,A,1998,0.00592724850142265
ANT,ECU_XDC,EOP_RT,A,1971,
ANT,ECU_XDC,EOP_RT,A,1972,
ANT,ECU_XDC,EOP_RT,A,1974,
ANT,ECU_XDC,EOP_RT,A,1979,0.385294095463965
ANT,ECU_XDC,EOP_RT,A,1980,0.424217743042467
ANT,ECU_XDC,EOP_RT,A,1981,0.511938403855693
ANT,ECU_XDC,EOP_RT,A,1982,0.574098952607519
ANT,ECU_XDC,EOP_RT,A,1983,0.671447373139527
ANT,ECU_XDC,EOP_RT,A,1984,0.783686776069341
ANT,ECU_XDC,EOP_RT,A,1985,0.625696086896673
ANT,ECU_XDC,EOP_RT,A,1986,0.519016774622156
ANT,ECU_XDC,EOP_RT,A,1987,0.426235657170136
ANT,ECU_XDC,EOP_RT,A,1988,0.47378096158584
ANT,ECU_XDC,EOP_RT,A,1989,0.466716138577356
ANT,ECU_XDC,EOP_RT,A,1990,0.409784506621503
ANT,ECU_XDC,EOP_RT,A,1991,0.416630037942498
ANT,ECU_XDC,EOP_RT,A,1992,0.461358673612268
ANT,ECU_XDC,EOP_RT,A,1993,0.498816234253681
ANT,ECU_XDC,EOP_RT,A,1994,0.454179716006874
ANT,ECU_XDC,EOP_RT,A,1995,0.425081581657152
ANT,ECU_XDC,EOP_RT,A,1996,0.445860875088464
ANT,ECU_XDC,EOP_RT,A,1997,0.505935662489105
ANT,ECU_XDC,EOP_RT,A,1998,0.478816556997724
ANT,ECU_XDC,EOP_RT,A,1999,
ANT,ECU_XDC,PA_RT,A,1971,
ANT,ECU_XDC,PA_RT,A,1972,
ANT,ECU_XDC,PA_RT,A,1974,
ANT,ECU_XDC,PA_RT,A,1978,0.436083274961086
ANT,ECU_XDC,PA_RT,A,1979,0.405349807245782
ANT,ECU_XDC,PA_RT,A,1980,0.39939053046444
ANT,ECU_XDC,PA_RT,A,1981,0.497082128518904
ANT,ECU_XDC,PA_RT,A,1982,0.566195309915369
ANT,ECU_XDC,PA_RT,A,1983,0.623320929709689
ANT,ECU_XDC,PA_RT,A,1984,0.704133616706784
ANT,ECU_XDC,PA_RT,A,1985,0.728892193200165
ANT,ECU_XDC,PA_RT,A,1986,0.566204926549066
ANT,ECU_XDC,PA_RT,A,1987,0.481285224062335
ANT,ECU_XDC,PA_RT,A,1988,0.469265458777377
ANT,ECU_XDC,PA_RT,A,1989,0.5058205757188
ANT,ECU_XDC,PA_RT,A,1990,0.438852488513036
ANT,ECU_XDC,PA_RT,A,1991,0.450347009258648
ANT,ECU_XDC,PA_RT,A,1992,0.430795518132669
ANT,ECU_XDC,PA_RT,A,1993,0.476563254558485
ANT,ECU_XDC,PA_RT,A,1994,0.47003096289799
ANT,ECU_XDC,PA_RT,A,1995,0.427064871823097
ANT,ECU_XDC,PA_RT,A,1996,0.440593693098815
ANT,ECU_XDC,PA_RT,A,1997,0.492620558403221
ANT,ECU_XDC,PA_RT,A,1998,0.498793966069441
ANT,ECU_XDC,PA_RT,A,1999,
ARE,ECU_XDC,EOP_RT,A,1979,0.184155435909187
ARE,ECU_XDC,EOP_RT,A,1980,0.208006520637491
ARE,ECU_XDC,EOP_RT,A,1981,0.251018558071187
ARE,ECU_XDC,EOP_RT,A,1982,0.281497715718042
ARE,ECU_XDC,EOP_RT,A,1983,0.329230528822918
ARE,ECU_XDC,EOP_RT,A,1984,0.384264831633019
ARE,ECU_XDC,EOP_RT,A,1985,0.30679731855462
ARE,ECU_XDC,EOP_RT,A,1986,0.254489292922877
ARE,ECU_XDC,EOP_RT,A,1987,0.208995963744551
ARE,ECU_XDC,EOP_RT,A,1988,0.232308834337922
ARE,ECU_XDC,EOP_RT,A,1989,0.227573382744066
ARE,ECU_XDC,EOP_RT,A,1990,0.19981320262939
ARE,ECU_XDC,EOP_RT,A,1991,0.203151121742596
ARE,ECU_XDC,EOP_RT,A,1992,0.224961053055287
ARE,ECU_XDC,EOP_RT,A,1993,0.243225567778286
ARE,ECU_XDC,EOP_RT,A,1994,0.221460553432935
ARE,ECU_XDC,EOP_RT,A,1995,0.207272141423672
ARE,ECU_XDC,EOP_RT,A,1996,0.217404240372746
ARE,ECU_XDC,EOP_RT,A,1997,0.246596279334377
ARE,ECU_XDC,EOP_RT,A,1998,0.23337825378514
ARE,ECU_XDC,PA_RT,A,1978,0.202765989374118
ARE,ECU_XDC,PA_RT,A,1979,0.191218983136437
ARE,ECU_XDC,PA_RT,A,1980,0.193912105937914
ARE,ECU_XDC,PA_RT,A,1981,0.24373408637447
ARE,ECU_XDC,PA_RT,A,1982,0.27762232567668
ARE,ECU_XDC,PA_RT,A,1983,0.305632708569805
ARE,ECU_XDC,PA_RT,A,1984,0.345257561951152
ARE,ECU_XDC,PA_RT,A,1985,0.357397425159438
ARE,ECU_XDC,PA_RT,A,1986,0.277627041075543
ARE,ECU_XDC,PA_RT,A,1987,0.235988396434814
ARE,ECU_XDC,PA_RT,A,1988,0.230094749604816
ARE,ECU_XDC,PA_RT,A,1989,0.247100217685203
ARE,ECU_XDC,PA_RT,A,1990,0.21398691213248
ARE,ECU_XDC,PA_RT,A,1991,0.219591704323884
ARE,ECU_XDC,PA_RT,A,1992,0.210058288601874
ARE,ECU_XDC,PA_RT,A,1993,0.232374891217567
ARE,ECU_XDC,PA_RT,A,1994,0.229189709503515
ARE,ECU_XDC,PA_RT,A,1995,0.208239204729868
ARE,ECU_XDC,PA_RT,A,1996,0.2148359331645
ARE,ECU_XDC,PA_RT,A,1997,0.240196342958021
ARE,ECU_XDC,PA_RT,A,1998,0.243115370800354
ARG,ECU_XDC,EOP_RT,A,1975,
ARG,ECU_XDC,EOP_RT,A,1979,42850131.0750598
ARG,ECU_XDC,EOP_RT,A,1980,38323309.262345
ARG,ECU_XDC,EOP_RT,A,1981,12713702.0754458
ARG,ECU_XDC,EOP_RT,A,1982,2128701.44014715
ARG,ECU_XDC,EOP_RT,A,1983,519584.399222587
ARG,ECU_XDC,EOP_RT,A,1984,78923.3332545284
ARG,ECU_XDC,EOP_RT,A,1985,14069.3685998003
ARG,ECU_XDC,EOP_RT,A,1986,7432.22111630772
ARG,ECU_XDC,EOP_RT,A,1987,2045.93115441665
ARG,ECU_XDC,EOP_RT,A,1988,637.85021006321
ARG,ECU_XDC,EOP_RT,A,1989,4.65416093623101
ARG,ECU_XDC,EOP_RT,A,1990,1.31336484664725
ARG,ECU_XDC,EOP_RT,A,1991,0.746888100067172
ARG,ECU_XDC,EOP_RT,A,1992,0.833752676189762
ARG,ECU_XDC,EOP_RT,A,1993,0.894222392903444
ARG,ECU_XDC,EOP_RT,A,1994,0.813388385845227
ARG,ECU_XDC,EOP_RT,A,1995,0.760896031166301
ARG,ECU_XDC,EOP_RT,A,1996,0.798490211514108
ARG,ECU_XDC,EOP_RT,A,1997,0.906077874792895
ARG,ECU_XDC,EOP_RT,A,1998,0.857510392222038
ARG,ECU_XDC,PA_RT,A,1975,
ARG,ECU_XDC,PA_RT,A,1978,98642776.5622725
ARG,ECU_XDC,PA_RT,A,1979,55402287.0210703
ARG,ECU_XDC,PA_RT,A,1980,39131246.4142734
ARG,ECU_XDC,PA_RT,A,1981,20322745.6878499
ARG,ECU_XDC,PA_RT,A,1982,3931527.61798646
ARG,ECU_XDC,PA_RT,A,1983,1065510.16269385
ARG,ECU_XDC,PA_RT,A,1984,187355.071617044
ARG,ECU_XDC,PA_RT,A,1985,21801.0356734495
ARG,ECU_XDC,PA_RT,A,1986,10807.3663251498
ARG,ECU_XDC,PA_RT,A,1987,4040.07870474585
ARG,ECU_XDC,PA_RT,A,1988,965.058866726935
ARG,ECU_XDC,PA_RT,A,1989,21.4273571682462
ARG,ECU_XDC,PA_RT,A,1990,1.61108191567387
ARG,ECU_XDC,PA_RT,A,1991,0.845385572635626
ARG,ECU_XDC,PA_RT,A,1992,0.778408584460386
ARG,ECU_XDC,PA_RT,A,1993,0.853948429629256
ARG,ECU_XDC,PA_RT,A,1994,0.842190595928364
ARG,ECU_XDC,PA_RT,A,1995,0.764637279883315
ARG,ECU_XDC,PA_RT,A,1996,0.788928974175663
ARG,ECU_XDC,PA_RT,A,1997,0.882231915499515
ARG,ECU_XDC,PA_RT,A,1998,0.893287843185892
ARM,ECU_XDC,EOP_RT,A,1992,0.398952669452154
ARM,ECU_XDC,EOP_RT,A,1993,0.0119050807908545
ARM,ECU_XDC,EOP_RT,A,1994,0.00200483759131046
ARM,ECU_XDC,EOP_RT,A,1995,0.0018927761969311
ARM,ECU_XDC,EOP_RT,A,1996,0.00183439668652941
ARM,ECU_XDC,EOP_RT,A,1997,0.0018296190469423
ARM,ECU_XDC,EOP_RT,A,1998,0.00164182448714811
ARM,ECU_XDC,PA_RT,A,1993,0.0936900851905204
ARM,ECU_XDC,PA_RT,A,1994,0.00291478605438775
ARM,ECU_XDC,PA_RT,A,1995,0.00188329742896798
ARM,ECU_XDC,PA_RT,A,1996,0.00190479145362694
ARM,ECU_XDC,PA_RT,A,1997,0.0017964685216272
ARM,ECU_XDC,PA_RT,A,1998,0.00176830000943584
ATG,ECU_XDC,EOP_RT,A,1976,
ATG,ECU_XDC,EOP_RT,A,1979,0.256862730166609
ATG,ECU_XDC,EOP_RT,A,1980,0.282811828537861
ATG,ECU_XDC,EOP_RT,A,1981,0.341292269047522
ATG,ECU_XDC,EOP_RT,A,1982,0.38273263485905
ATG,ECU_XDC,EOP_RT,A,1983,0.447631581844334
ATG,ECU_XDC,EOP_RT,A,1984,0.522457850712894
ATG,ECU_XDC,EOP_RT,A,1985,0.417130724597782
ATG,ECU_XDC,EOP_RT,A,1986,0.346011183081437
ATG,ECU_XDC,EOP_RT,A,1987,0.284157104780091
ATG,ECU_XDC,EOP_RT,A,1988,0.31585397439056
ATG,ECU_XDC,EOP_RT,A,1989,0.309415514093877
ATG,ECU_XDC,EOP_RT,A,1990,0.271671950686108
ATG,ECU_XDC,EOP_RT,A,1991,0.27621028441373
ATG,ECU_XDC,EOP_RT,A,1992,0.305863713246652
ATG,ECU_XDC,EOP_RT,A,1993,0.330696688634848
ATG,ECU_XDC,EOP_RT,A,1994,0.301104330241594
ATG,ECU_XDC,EOP_RT,A,1995,0.281813344876408
ATG,ECU_XDC,EOP_RT,A,1996,0.295589246817908
ATG,ECU_XDC,EOP_RT,A,1997,0.335416605872407
ATG,ECU_XDC,EOP_RT,A,1998,0.317437643342936
ATG,ECU_XDC,PA_RT,A,1976,
ATG,ECU_XDC,PA_RT,A,1978,0.290722183145879
ATG,ECU_XDC,PA_RT,A,1979,0.270233204680392
ATG,ECU_XDC,PA_RT,A,1980,0.266260353495038
ATG,ECU_XDC,PA_RT,A,1981,0.331388085495165
ATG,ECU_XDC,PA_RT,A,1982,0.377463539733878
ATG,ECU_XDC,PA_RT,A,1983,0.415547286242267
ATG,ECU_XDC,PA_RT,A,1984,0.469422411029192
ATG,ECU_XDC,PA_RT,A,1985,0.48592812880011
ATG,ECU_XDC,PA_RT,A,1986,0.377469951032711
ATG,ECU_XDC,PA_RT,A,1987,0.320856816041556
ATG,ECU_XDC,PA_RT,A,1988,0.312843639184918
ATG,ECU_XDC,PA_RT,A,1989,0.335964777452733
ATG,ECU_XDC,PA_RT,A,1990,0.290942946088272
ATG,ECU_XDC,PA_RT,A,1991,0.298563387619622
ATG,ECU_XDC,PA_RT,A,1992,0.285601473132399
ATG,ECU_XDC,PA_RT,A,1993,0.315943787281366
ATG,ECU_XDC,PA_RT,A,1994,0.311613119847186
ATG,ECU_XDC,PA_RT,A,1995,0.283128192801239
ATG,ECU_XDC,PA_RT,A,1996,0.292097300239585
ATG,ECU_XDC,PA_RT,A,1997,0.326589185015469
ATG,ECU_XDC,PA_RT,A,1998,0.330681925653444
AUS,ECU_XDC,EOP_RT,A,1966,
AUS,ECU_XDC,EOP_RT,A,1971,
AUS,ECU_XDC,EOP_RT,A,1973,
AUS,ECU_XDC,EOP_RT,A,1974,
AUS,ECU_XDC,EOP_RT,A,1975,
AUS,ECU_XDC,EOP_RT,A,1979,0.766696719444272
AUS,ECU_XDC,EOP_RT,A,1980,0.901572999313968
AUS,ECU_XDC,EOP_RT,A,1981,1.039347584777
AUS,ECU_XDC,EOP_RT,A,1982,1.01333057767214
AUS,ECU_XDC,EOP_RT,A,1983,1.0901619544237
AUS,ECU_XDC,EOP_RT,A,1984,1.16772464381436
AUS,ECU_XDC,EOP_RT,A,1985,0.7668656380223
AUS,ECU_XDC,EOP_RT,A,1986,0.621076233183856
AUS,ECU_XDC,EOP_RT,A,1987,0.554319472149762
AUS,ECU_XDC,EOP_RT,A,1988,0.729575302746031
AUS,ECU_XDC,EOP_RT,A,1989,0.662238930659983
AUS,ECU_XDC,EOP_RT,A,1990,0.567226582557031
AUS,ECU_XDC,EOP_RT,A,1991,0.566634350063391
AUS,ECU_XDC,EOP_RT,A,1992,0.568667932942441
AUS,ECU_XDC,EOP_RT,A,1993,0.60456976526157
AUS,ECU_XDC,EOP_RT,A,1994,0.631524161815876
AUS,ECU_XDC,EOP_RT,A,1995,0.566867543218895
AUS,ECU_XDC,EOP_RT,A,1996,0.635679526572441
AUS,ECU_XDC,EOP_RT,A,1997,0.591101339419132
AUS,ECU_XDC,EOP_RT,A,1998,0.526162425541034
AUS,ECU_XDC,PA_RT,A,1966,
AUS,ECU_XDC,PA_RT,A,1971,
AUS,ECU_XDC,PA_RT,A,1973,
AUS,ECU_XDC,PA_RT,A,1974,
AUS,ECU_XDC,PA_RT,A,1975,
AUS,ECU_XDC,PA_RT,A,1978,0.898462295674583
AUS,ECU_XDC,PA_RT,A,1979,0.815555872596498
AUS,ECU_XDC,PA_RT,A,1980,0.818568282161991
AUS,ECU_XDC,PA_RT,A,1981,1.0281921827118
AUS,ECU_XDC,PA_RT,A,1982,1.03376608170667
AUS,ECU_XDC,PA_RT,A,1983,1.01077703787465
AUS,ECU_XDC,PA_RT,A,1984,1.11225905424702
AUS,ECU_XDC,PA_RT,A,1985,0.916272455884289
AUS,ECU_XDC,PA_RT,A,1986,0.681274376702341
AUS,ECU_XDC,PA_RT,A,1987,0.606585586769316
AUS,ECU_XDC,PA_RT,A,1988,0.659951813579836
AUS,ECU_XDC,PA_RT,A,1989,0.717307678434267
AUS,ECU_XDC,PA_RT,A,1990,0.613201566236988
AUS,ECU_XDC,PA_RT,A,1991,0.627939617208864
AUS,ECU_XDC,PA_RT,A,1992,0.566316543398365
AUS,ECU_XDC,PA_RT,A,1993,0.580083931060064
AUS,ECU_XDC,PA_RT,A,1994,0.615137935275054
AUS,ECU_XDC,PA_RT,A,1995,0.566662493722979
AUS,ECU_XDC,PA_RT,A,1996,0.617172971533377
AUS,ECU_XDC,PA_RT,A,1997,0.654448484868237
AUS,ECU_XDC,PA_RT,A,1998,0.560890380305434
AUT,ECU_XDC,EOP_RT,A,1971,
AUT,ECU_XDC,EOP_RT,A,1972,
AUT,ECU_XDC,EOP_RT,A,1979,0.0557903122440378
AUT,ECU_XDC,EOP_RT,A,1980,0.0552966860056647
AUT,ECU_XDC,EOP_RT,A,1981,0.058010017401845
AUT,ECU_XDC,EOP_RT,A,1982,0.0619271357452726
AUT,ECU_XDC,EOP_RT,A,1983,0.0624892855096526
AUT,ECU_XDC,EOP_RT,A,1984,0.063974430699538
AUT,ECU_XDC,EOP_RT,A,1985,0.0651766757184034
AUT,ECU_XDC,EOP_RT,A,1986,0.0681422461210708
AUT,ECU_XDC,EOP_RT,A,1987,0.0681977051472218
AUT,ECU_XDC,EOP_RT,A,1988,0.0678715265304028
AUT,ECU_XDC,EOP_RT,A,1989,0.0707085812994894
AUT,ECU_XDC,EOP_RT,A,1990,0.0687004089962059
AUT,ECU_XDC,EOP_RT,A,1991,0.0697696480416382
AUT,ECU_XDC,EOP_RT,A,1992,0.0727348974604509
AUT,ECU_XDC,EOP_RT,A,1993,0.0735305162903804
AUT,ECU_XDC,EOP_RT,A,1994,0.0741162997221537
AUT,ECU_XDC,EOP_RT,A,1995,0.0754258555874605
AUT,ECU_XDC,EOP_RT,A,1996,0.0728584048209194
AUT,ECU_XDC,EOP_RT,A,1997,0.0716872346913242
AUT,ECU_XDC,EOP_RT,A,1998,0.0729617465758004
AUT,ECU_XDC,PA_RT,A,1971,
AUT,ECU_XDC,PA_RT,A,1972,
AUT,ECU_XDC,PA_RT,A,1978,0.0540537055808623
AUT,ECU_XDC,PA_RT,A,1979,0.0545823566612228
AUT,ECU_XDC,PA_RT,A,1980,0.0555652306761121
AUT,ECU_XDC,PA_RT,A,1981,0.0561786396684709
AUT,ECU_XDC,PA_RT,A,1982,0.0597418736070608
AUT,ECU_XDC,PA_RT,A,1983,0.0624593248973559
AUT,ECU_XDC,PA_RT,A,1984,0.0633432570951216
AUT,ECU_XDC,PA_RT,A,1985,0.0634140964146484
AUT,ECU_XDC,PA_RT,A,1986,0.066755745531031
AUT,ECU_XDC,PA_RT,A,1987,0.0685238998071744
