iso3,year,value
ATG,1992,2.7
ATG,1993,2.7
ATG,1994,2.7
ATG,1995,2.7
ATG,1996,2.7
ATG,1997,2.7
ATG,1998,2.7
ATG,1999,2.7
ATG,2000,2.7
ATG,2001,2.7
ATG,2002,2.7
ATG,2003,2.7
ATG,2004,2.7
ATG,2005,2.7
ATG,2006,2.7
ATG,2007,2.7
ATG,2008,2.7
ATG,2009,2.7
ATG,2010,2.7
ATG,2011,2.7
ATG,2012,2.7
ATG,2013,2.7
ATG,2014,2.7
ATG,2015,2.7
ATG,2016,2.7
ATG,2017,2.7
ATG,2018,2.7
ATG,2019,2.7
ATG,2020,2.7
ATG,2021,2.7
ATG,2022,2.7
ATG,2023,2.7
ATG,2024,2.7
ATG,2025,
AUS,1950,0.892857
AUS,1951,0.892857
AUS,1952,0.892857
AUS,1953,0.892857
AUS,1954,0.892857
AUS,1955,0.892857
AUS,1956,0.892857
AUS,1957,0.892857
AUS,1958,0.892857
AUS,1959,0.892857
AUS,1960,0.892857
AUS,1961,0.892857
AUS,1962,0.892857
AUS,1963,0.892857
AUS,1964,0.892857
AUS,1965,0.892857
AUS,1966,0.892857
AUS,1967,0.892857
AUS,1968,0.892857
AUS,1969,0.892857
AUS,1970,0.892857
AUS,1971,0.88267
AUS,1972,0.838698
AUS,1973,0.704114
AUS,1974,0.696666
AUS,1975,0.763871
AUS,1976,0.818284
AUS,1977,0.901825
AUS,1978,0.873659
AUS,1979,0.894641
AUS,1980,0.878244
AUS,1981,0.870215
AUS,1982,0.985863
AUS,1983,1.110015
AUS,1984,1.139519
AUS,1985,1.431895
AUS,1986,1.495974
AUS,1987,1.42818
AUS,1988,1.279908
AUS,1989,1.264597
AUS,1990,1.281057
AUS,1991,1.283756
AUS,1992,1.361648
AUS,1993,1.47056
AUS,1994,1.367751
AUS,1995,1.349033
AUS,1996,1.277863
AUS,1997,1.34738
AUS,1998,1.591828
AUS,1999,1.54995
AUS,2000,1.724827
AUS,2001,1.933443
AUS,2002,1.840563
AUS,2003,1.541914
AUS,2004,1.359752
AUS,2005,1.309473
AUS,2006,1.327973
AUS,2007,1.195073
AUS,2008,1.192178
AUS,2009,1.282189
AUS,2010,1.090159
AUS,2011,0.969463
AUS,2012,0.965801
AUS,2013,1.035843
AUS,2014,1.109363
AUS,2015,1.33109
AUS,2016,1.345214
AUS,2017,1.304758
AUS,2018,1.338412
AUS,2019,1.438507
AUS,2020,1.453085
AUS,2021,1.331224
AUS,2022,1.441664
AUS,2023,1.505191
AUS,2024,1.515358
AUS,2025,
AUT,1950,1.453166
AUT,1951,1.552146
AUT,1952,1.552146
AUT,1953,1.774235
AUT,1954,1.889494
AUT,1955,1.889494
AUT,1956,1.889494
AUT,1957,1.889494
AUT,1958,1.889494
AUT,1959,1.889494
AUT,1960,1.889494
AUT,1961,1.889494
AUT,1962,1.889494
AUT,1963,1.889494
AUT,1964,1.889494
AUT,1965,1.889494
AUT,1966,1.889494
AUT,1967,1.889494
AUT,1968,1.889494
AUT,1969,1.889494
AUT,1970,1.889494
AUT,1971,1.815773
AUT,1972,1.679857
AUT,1973,1.422934
AUT,1974,1.358437
AUT,1975,1.265725
AUT,1976,1.303726
AUT,1977,1.201058
AUT,1978,1.055331
AUT,1979,0.971454
AUT,1980,0.940241
AUT,1981,1.157448
AUT,1982,1.239744
AUT,1983,1.305446
AUT,1984,1.454117
AUT,1985,1.503565
AUT,1986,1.109506
AUT,1987,0.918766
AUT,1988,0.89734
AUT,1989,0.96151
AUT,1990,0.826278
AUT,1991,0.848522
AUT,1992,0.798626
AUT,1993,0.845344
AUT,1994,0.830056
AUT,1995,0.732651
AUT,1996,0.769355
AUT,1997,0.886917
AUT,1998,0.899622
AUT,1999,0.938283
AUT,2000,1.082705
AUT,2001,1.116533
AUT,2002,1.057559
AUT,2003,0.884048
AUT,2004,0.803922
AUT,2005,0.8038
AUT,2006,0.796433
AUT,2007,0.729672
AUT,2008,0.679923
AUT,2009,0.716958
AUT,2010,0.754309
AUT,2011,0.718414
AUT,2012,0.778338
AUT,2013,0.752945
AUT,2014,0.752728
AUT,2015,0.901296
AUT,2016,0.903421
AUT,2017,0.885206
AUT,2018,0.846773
AUT,2019,0.893276
AUT,2020,0.875506
AUT,2021,0.845494
AUT,2022,0.949624
AUT,2023,0.92484
AUT,2024,0.92389
AUT,2025,
AZE,1950,
AZE,1951,
AZE,1952,
AZE,1953,
AZE,1954,
AZE,1955,
AZE,1956,
AZE,1957,
AZE,1958,
AZE,1959,
AZE,1960,
AZE,1961,
AZE,1962,
AZE,1963,
AZE,1964,
AZE,1965,
AZE,1966,
AZE,1967,
AZE,1968,
AZE,1969,
AZE,1970,
AZE,1971,
AZE,1972,
AZE,1973,
AZE,1974,
AZE,1975,
AZE,1976,
AZE,1977,
AZE,1978,
AZE,1979,
AZE,1980,
AZE,1981,
AZE,1982,
AZE,1983,
AZE,1984,
AZE,1985,
AZE,1986,
AZE,1987,
AZE,1988,
AZE,1989,
AZE,1990,3.3e-05
AZE,1991,1e-04
AZE,1992,0.01084
AZE,1993,0.019995
AZE,1994,0.314045
AZE,1995,0.882709
AZE,1996,0.860253
AZE,1997,0.797075
AZE,1998,0.7738
AZE,1999,0.824033
AZE,2000,0.894831
AZE,2001,0.931317
AZE,2002,0.972164
AZE,2003,0.982146
AZE,2004,0.982696
AZE,2005,0.945421
AZE,2006,0.893445
AZE,2007,0.858124
AZE,2008,0.82162
AZE,2009,0.803783
AZE,2010,0.8026
AZE,2011,0.789686
AZE,2012,0.785645
AZE,2013,0.784541
AZE,2014,0.784347
AZE,2015,1.024564
AZE,2016,1.595722
AZE,2017,1.721155
AZE,2018,1.700017
AZE,2019,1.7
AZE,2020,1.7
AZE,2021,1.7
AZE,2022,1.7
AZE,2023,1.7
AZE,2024,1.7
AZE,2025,
AZO,1950,
AZO,1951,
AZO,1952,
AZO,1953,
AZO,1954,
AZO,1955,
AZO,1956,
AZO,1957,
AZO,1958,
AZO,1959,
AZO,1960,
AZO,1961,
AZO,1962,
AZO,1963,
AZO,1964,
AZO,1965,
AZO,1966,
AZO,1967,
AZO,1968,
AZO,1969,
AZO,1970,
AZO,1971,
AZO,1972,
AZO,1973,
AZO,1974,
AZO,1975,
AZO,1976,
AZO,1977,
AZO,1978,
AZO,1979,
AZO,1980,
AZO,1981,
AZO,1982,
AZO,1983,
AZO,1984,
AZO,1985,
AZO,1986,
AZO,1987,
AZO,1988,
AZO,1989,
AZO,1990,
AZO,1991,
AZO,1992,
AZO,1993,
AZO,1994,
AZO,1995,
AZO,1996,
AZO,1997,
AZO,1998,
AZO,1999,
AZO,2000,
AZO,2001,
AZO,2002,
AZO,2003,
AZO,2004,
AZO,2005,
AZO,2006,
AZO,2007,
AZO,2008,
AZO,2009,
AZO,2010,
AZO,2011,
AZO,2012,
AZO,2013,
AZO,2014,
AZO,2015,
AZO,2016,
AZO,2017,
AZO,2018,
AZO,2019,
AZO,2020,
AZO,2021,
AZO,2022,
AZO,2023,
AZO,2024,
AZO,2025,
BDI,1950,50.000000049
BDI,1951,50.000000049
BDI,1952,50.000000049
BDI,1953,50.000000049
BDI,1954,50.000000049
BDI,1955,50.000000049
BDI,1956,50.000000049
BDI,1957,50.000000049
BDI,1958,50.000000049
BDI,1959,50.000000049
BDI,1960,50.000000049
BDI,1961,50.000000049
BDI,1962,50.000000049
BDI,1963,50.000000049
BDI,1964,50.000000049
BDI,1965,84.37500008
BDI,1966,87.500000087
BDI,1967,87.500000087
BDI,1968,87.500000087
BDI,1969,87.500000087
BDI,1970,87.500000087
BDI,1971,87.50000008
BDI,1972,87.5
BDI,1973,80.026083333
BDI,1974,78.75
BDI,1975,78.75
BDI,1976,86.25
BDI,1977,90
BDI,1978,90
BDI,1979,90
BDI,1980,90
BDI,1981,90
BDI,1982,90
BDI,1983,92.95
BDI,1984,119.71
BDI,1985,120.69
BDI,1986,114.17
BDI,1987,123.56
BDI,1988,140.395
BDI,1989,158.667
BDI,1990,171.255
BDI,1991,181.513
BDI,1992,208.303
BDI,1993,242.8
BDI,1994,252.663
BDI,1995,249.758
BDI,1996,302.75
BDI,1997,352.35
BDI,1998,447.765833
BDI,1999,563.56
BDI,2000,720.67
BDI,2001,830.35
BDI,2002,930.749167
BDI,2003,1082.62
BDI,2004,1100.91
BDI,2005,1081.577167
BDI,2006,1028.683553
BDI,2007,1081.869682
