clean_org,Year,Organisation,Org_type,Local_type,PC.USD.m,TV.USD.m,Cash.USD,Vouchers.USD,Source.PC,Source.TV,Comment,Reasons.for.year-on-year.change,source,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.name,PC.USD.m_subgrant,PC.USD.m_undoubled
act alliance hungarian interchurch aid,2023,ACT Alliance / Hungarian Interchurch Aid,NGO,,0.242862,0.1942896,,,,,,,FTS,International NGOs,ACT Alliance / Hungarian Interchurch Aid,0,0.242862
act alliance lutheran world federation,2018,ACT Alliance / Lutheran World Federation,NGO,,0.534095,0.407284668938457,,,,,,,FTS,International NGOs,ACT Alliance / Lutheran World Federation,0,0.534095
act alliance lutheran world federation,2019,ACT Alliance / Lutheran World Federation,NGO,,0.662564,0.509019480009888,,,,,,,FTS,International NGOs,ACT Alliance / Lutheran World Federation,0,0.662564
act alliance lutheran world federation,2020,ACT Alliance / Lutheran World Federation,NGO,,1.275366,0.995390293134682,,,,,,,FTS,International NGOs,ACT Alliance / Lutheran World Federation,0,1.275366
act alliance lutheran world federation,2022,ACT Alliance / Lutheran World Federation,NGO,,0.604921,0.478210235959617,,,,,,,FTS,International NGOs,ACT Alliance / Lutheran World Federation,0,0.604921
act alliance norwegian church aid,2019,ACT Alliance / Norwegian Church Aid,NGO,,0.36581594,0.281040683704712,,,,,,,FTS,International NGOs,ACT Alliance / Norwegian Church Aid,0,0.36581594
act alliance norwegian church aid,2020,ACT Alliance / Norwegian Church Aid,NGO,,3.37870396,2.63699136182062,,,,,,,FTS,International NGOs,ACT Alliance / Norwegian Church Aid,0,3.37870396
act alliance norwegian church aid,2022,ACT Alliance / Norwegian Church Aid,NGO,,0.1071194,0.0846814601408326,,,,,,,FTS,International NGOs,ACT Alliance / Norwegian Church Aid,0,0.1071194
act alliance norwegian church aid,2023,ACT Alliance / Norwegian Church Aid,NGO,,4.634265,3.707412,,,,,,,FTS,International NGOs,ACT Alliance / Norwegian Church Aid,0,4.634265
act alliance norwegian church aid,2024,ACT Alliance / Norwegian Church Aid,NGO,,5.7200974,4.57607792,,,,,,,FTS,International NGOs,ACT Alliance / Norwegian Church Aid,0,5.7200974
acted,2015,ACTED,NGO,International,19.4898347199113,12.1968962839712,,,Survey,Survey,,,Survey,,,0,19.4898347199113
acted,2016,ACTED,NGO,International,22.138,16.1470613934896,,,Survey,Estimate,"Unknown whether value is PC or TV, so assumed it's PC to avoid overestimation.",,Survey,,,0,22.138
acted,2017,ACTED,NGO,,8.767365,6.68572698019568,,,,,,,FTS,International NGOs,Agency for Technical Cooperation and Development,0,8.767365
acted,2018,ACTED,NGO,,13.20761034,10.0717235787548,,,,,,,FTS,International NGOs,Agency for Technical Cooperation and Development,0,13.20761034
acted,2019,ACTED,NGO,International,67.2951824934766,51.7,,,Estimate,Survey,,,Survey,,,0,67.2951824934766
acted,2020,ACTED,NGO,International,78.0294824409051,60.9,,,Estimate,Survey,,,Survey,,,0,78.0294824409051
acted,2021,ACTED,NGO,International,83.4932351251359,65.8,,,Estimate,Survey,,,Survey,,,0,83.4932351251359
acted,2022,ACTED,NGO,International,118.502271634323,93.68,65.576,28.104,Estimate,Survey,,,Survey,,,14.451834910493,104.05043672383
acted,2023,ACTED,NGO,International,166.1725608,138.477134,138.477134,0,Estimate,Survey,,,Survey,,,3.51542222438476,162.657138575615
acted,2024,ACTED,NGO,,83.81264928,67.050119424,,,,,,,FTS,International NGOs,Agency for Technical Cooperation and Development,0,83.81264928
action against disasters somalia,2019,Action Against Disasters Somalia,NGO,,0.155,0.119079846477522,,,,,,,FTS,National NGOs/CSOs,Action Against Disasters Somalia,0,0.155
action against disasters somalia,2020,Action Against Disasters Somalia,NGO,,0.06000012,0.0468285472836159,,,,,,,FTS,National NGOs/CSOs,Action Against Disasters Somalia,0,0.06000012
action against hunger,2015,Action Against Hunger,NGO,International,37.4526114605907,27.3172651820703,,,Estimate,Survey,,,Survey,,,0,37.4526114605907
action against hunger,2016,Action Against Hunger,NGO,International,74.71575,54.4963322030275,,,Survey,Estimate,"Unknown whether value is PC or TV, so assumed it's PC to avoid overestimation.",,Survey,,,0,74.71575
action against hunger,2017,Action Against Hunger,NGO,International,62.1827836039693,47.8329104645918,,,Survey,Survey,,,Survey,,,0,62.1827836039693
action against hunger,2018,Action Against Hunger,NGO,International,80.9128630705394,62.2406639004149,,,Survey,Survey,,,Survey,,,0,80.9128630705394
action against hunger,2019,Action Against Hunger,NGO,,0.03724484,0.0286136118018055,,,,,,,FTS,International NGOs,Acción Contra el Hambre - Spain,0,0.03724484
action against hunger,2019,Action Against Hunger,NGO,,10.62695898,8.16423641200852,,,,,,,FTS,International NGOs,Action Contre la Faim - Action Against Hunger International,0,10.62695898
action against hunger,2019,Action Against Hunger,NGO,,0.0818834,0.0629075012971452,,,,,,,FTS,International NGOs,Action Contre la Faim - France,0,0.0818834
action against hunger,2020,Action Against Hunger,NGO,International,78.6085838806211,58.9564379104658,,,Survey,Survey,,,Survey,,,13.7064534551685,64.9021304254526
action against hunger,2021,Action Against Hunger,NGO,,3.5985329,2.83595987705016,,,,,,,FTS,International NGOs,Acción Contra el Hambre - Spain,0,3.5985329
action against hunger,2021,Action Against Hunger,NGO,,0.569476,0.44879708809749,,,,,,,FTS,International NGOs,Action Against Hunger - USA,0,0.569476
action against hunger,2021,Action Against Hunger,NGO,,12.7326769,10.0344673285725,,,,,,,FTS,International NGOs,Action Contre la Faim - Action Against Hunger International,0,12.7326769
action against hunger,2022,Action Against Hunger,NGO,International,83.515927,69.596606,37.582167,32.014439,Survey,Survey,,,Survey,,,9.64040777817949,73.8755192218205
action against hunger,2023,Action Against Hunger,NGO,International,76.9486386834479,64.1238657497513,43.3877535573721,20.7361121923792,Survey,Survey,,,Survey,,,1.48512921413607,75.4635094693118
action against hunger,2024,Action Against Hunger,NGO,,13.3021261,10.64170088,,,,,,,FTS,International NGOs,Acción Contra el Hambre - Spain,0,13.3021261
action against hunger,2024,Action Against Hunger,NGO,,3.966529,3.1732232,,,,,,,FTS,International NGOs,Action Against Hunger - USA,0,3.966529
action against hunger,2024,Action Against Hunger,NGO,,11.62773295,9.30218636,,,,,,,FTS,International NGOs,Action Contre la Faim - Action Against Hunger International,0,11.62773295
action against hunger,2024,Action Against Hunger,NGO,,0.146142,0.1169136,,,,,,,FTS,International NGOs,Action Contre la Faim - France,0,0.146142
action communautaire pour le développement durable et le progrès,2024,Action Communautaire pour le Développement Durable et le Progrès,NGO,,0.037894,0.0303152,,,,,,,FTS,Local NGOs/CSOs,Action Communautaire pour le Développement Durable et le Progrès,0,0.037894
action for social and economic progress,2024,Action for Social and Economic Progress,NGO,,0.05334,0.042672,,,,,,,FTS,National NGOs/CSOs,Action for Social and Economic Progress,0,0.05334
action for social development and environmental protection organization,2024,Action for Social Development and Environmental Protection Organization,NGO,,0.613309,0.4906472,,,,,,,FTS,National NGOs/CSOs,Action for Social Development and Environmental Protection Organization,0,0.613309
action for the needy in ethiopia,2024,Action for the Needy in Ethiopia,NGO,,0.198198,0.1585584,,,,,,,FTS,National NGOs/CSOs,Action for the Needy in Ethiopia,0,0.198198
action pour le bien etre communautaire,2024,Action pour le Bien Etre Communautaire,NGO,,0.3204,0.25632,,,,,,,FTS,National NGOs/CSOs,Action pour le Bien Etre Communautaire,0,0.3204
action pour le développement du sahel,2024,Action pour le Développement du Sahel,NGO,,0.4395,0.3516,,,,,,,FTS,National NGOs/CSOs,Action pour le Développement du Sahel,0,0.4395
actionaid,2016,ActionAid,NGO,International,3.3,2.40696099911988,,,Survey,Estimate,"Unknown whether value is PC or TV, so assumed it's PC to avoid overestimation.",,Survey,,,0,3.3
actionaid,2018,ActionAid,NGO,,0.078844,0.0601240461674116,,,,,,,FTS,International NGOs,ActionAid International,0,0.078844
actionaid,2019,ActionAid,NGO,International,3.124259,2.647498,2.647498,0,Survey,Survey,,,Survey,,,0.12359541,3.00066359
actionaid,2020,ActionAid,NGO,International,1.88177993985674,1.63633038248412,,,Survey,Survey,,,Survey,,,0,1.88177993985674
actionaid,2021,ActionAid,NGO,International,1.50727368159095,1.187864,1.025265,0.162599,Estimate,Survey,True value of CVA likely higher as internal reporting systems for the federation are being reviewed to capture all CVA.,,Survey,,,0.15652047,1.35075321159095
actionaid,2022,ActionAid,NGO,,6.627169,5.23899823486746,,,,,,,FTS,International NGOs,ActionAid International,0,6.627169
actionaid,2022,ActionAid,NGO,,0.999855,0.790418741414834,,,,,,,FTS,Internationally Affiliated Organizations,ActionAid International Afghanistan,0,0.999855
actionaid,2023,ActionAid,NGO,,4.502924,3.6023392,,,,,,,FTS,International NGOs,ActionAid International,0,4.502924
actionaid,2023,ActionAid,NGO,,0.694857,0.5558856,,,,,,,FTS,Internationally Affiliated Organizations,ActionAid International Afghanistan,0,0.694857
actionaid,2024,ActionAid,NGO,,1.742229,1.3937832,,,,,,,FTS,International NGOs,ActionAid International,0,1.742229
actionaid international myanmar,2024,ActionAid International Myanmar,NGO,,0.303169,0.2425352,,,,,,,FTS,Internationally Affiliated Organizations,ActionAid International Myanmar,0,0.303169
actionaid international somaliland,2022,ActionAid International Somaliland,NGO,,0.082791,0.0654490481324547,,,,,,,FTS,Internationally Affiliated Organizations,ActionAid International Somaliland,0,0.082791
actionaid international zimbabwe,2019,ActionAid International Zimbabwe,NGO,,1.684648,1.2942427432817,,,,,,,FTS,Internationally Affiliated Organizations,ActionAid International Zimbabwe,0,1.684648
active youth agency,2019,Active Youth Agency,NGO,,0.120073,0.0922469316522288,,,,,,,FTS,National NGOs/CSOs,Active Youth Agency,0,0.120073
adesa,2021,ADESA,NGO,National,0.05,0.032143,0,0.032143,Survey,Survey,,,Survey,,,0,0.05
adeso africa,2015,Adeso Africa,NGO,National,10.313992,7.52284136037406,,,Survey,Estimate,,,Survey,,,0,10.313992
adeso africa,2016,Adeso Africa,NGO,National,12.3358814948242,8.9975714084262,,,CALP estimate for missing org. data,Estimate,,,Survey,,,0,12.3358814948242
adventist development and relief agency,2017,Adventist Development and Relief Agency,NGO,International,15.4,11.743573524658,,,Survey,Estimate,Majority of funding for voucher distribution,,Survey,,,0,15.4
adventist development and relief agency,2018,Adventist Development and Relief Agency,NGO,,0.927541,0.707314670820444,,,,,,,FTS,International NGOs,Adventist Development and Relief Agency,0,0.927541
adventist development and relief agency,2019,Adventist Development and Relief Agency,NGO,,4.82751426,3.70877198031514,,,,,,,FTS,International NGOs,Adventist Development and Relief Agency,0,4.82751426
adventist development and relief agency,2020,Adventist Development and Relief Agency,NGO,,2.310693,1.80343633326767,,,,,,,FTS,International NGOs,Adventist Development and Relief Agency,0,2.310693
adventist development and relief agency,2021,Adventist Development and Relief Agency,NGO,International,55.61092955,43.8262951352377,,,Survey,Estimate,,,Survey,,,0,55.61092955
adventist development and relief agency,2022,Adventist Development and Relief Agency,NGO,International,39.93134535,29.3167303278378,11.2871526717537,18.94019902,Survey,Survey,,,Survey,,,0.735081061393045,39.196264288607
adventist development and relief agency,2023,Adventist Development and Relief Agency,NGO,International,40.1430075,33.45250625,22.99227661,9.56022963,Estimate,Survey,,,Survey,,,0,40.1430075
adventist development and relief agency,2024,Adventist Development and Relief Agency,NGO,,4.99001545,3.99201236,,,,,,,FTS,International NGOs,Adventist Development and Relief Agency,0,4.99001545
afghan amputee bicyclists for rehabilitation and recreation,2022,Afghan Amputee Bicyclists for Rehabilitation And Recreation,NGO,,0.625097,0.494160037207584,,,,,,,FTS,National NGOs/CSOs,Afghan Amputee Bicyclists for Rehabilitation And Recreation,0,0.625097
afghan community and health rehabilitation organization,2023,Afghan Community and Health Rehabilitation Organization,NGO,,0.799165,0.639332,,,,,,,FTS,National NGOs/CSOs,Afghan Community and Health Rehabilitation Organization,0,0.799165
afghan community and health rehabilitation organization,2024,Afghan Community and Health Rehabilitation Organization,NGO,,0.750231,0.6001848,,,,,,,FTS,National NGOs/CSOs,Afghan Community and Health Rehabilitation Organization,0,0.750231
afghan paramount welfare development organization,2022,Afghan Paramount Welfare & Development Organization,NGO,,0.576156,0.455470543607428,,,,,,,FTS,Local/National Private Organizations,Afghan Paramount Welfare & Development Organization,0,0.576156
afghan paramount welfare development organization,2023,Afghan Paramount Welfare & Development Organization,NGO,,0.600304,0.4802432,,,,,,,FTS,Local/National Private Organizations,Afghan Paramount Welfare & Development Organization,0,0.600304
afghan women rights organization,2020,Afghan Women Rights Organization,NGO,,0.499916,0.390171553720828,,,,,,,FTS,National NGOs/CSOs,Afghan Women Rights Organization,0,0.499916
afghan women rights organization,2021,Afghan Women Rights Organization,NGO,,0.350914,0.27655104231371,,,,,,,FTS,National NGOs/CSOs,Afghan Women Rights Organization,0,0.350914
afghan women rights organization,2023,Afghan Women Rights Organization,NGO,,0.181652,0.1453216,,,,,,,FTS,National NGOs/CSOs,Afghan Women Rights Organization,0,0.181652
afghanaid,2018,Afghanaid,NGO,,0.236088,0.180033557551264,,,,,,,FTS,International NGOs,Afghanaid,0,0.236088
afghanaid,2024,Afghanaid,NGO,,0.404568,0.3236544,,,,,,,FTS,International NGOs,Afghanaid,0,0.404568
afghanistan rehabilitation and education program,2023,Afghanistan Rehabilitation and Education Program,NGO,,0.490343,0.3922744,,,,,,,FTS,National NGOs/CSOs,Afghanistan Rehabilitation and Education Program,0,0.490343
afghanistan rehabilitation and women education organization,2023,Afghanistan Rehabilitation And Women Education Organization,NGO,,0.49962,0.399696,,,,,,,FTS,National NGOs/CSOs,Afghanistan Rehabilitation And Women Education Organization,0,0.49962
afghanistan rehabilitation and women education organization,2024,Afghanistan Rehabilitation And Women Education Organization,NGO,,0.49024,0.392192,,,,,,,FTS,National NGOs/CSOs,Afghanistan Rehabilitation And Women Education Organization,0,0.49024
africa development aid,2018,Africa Development Aid,NGO,,0.332907,0.253864794245022,,,,,,,FTS,National NGOs/CSOs,Africa Development Aid,0,0.332907
africa development aid,2019,Africa Development Aid,NGO,,0.9884976,0.759420273879991,,,,,,,FTS,National NGOs/CSOs,Africa Development Aid,0,0.9884976
africa development aid,2020,Africa Development Aid,NGO,,1.3108445,1.02308034800127,,,,,,,FTS,National NGOs/CSOs,Africa Development Aid,0,1.3108445
africa development aid,2021,Africa Development Aid,NGO,,0.824373,0.649678304100949,,,,,,,FTS,National NGOs/CSOs,Africa Development Aid,0,0.824373
africa development aid,2022,Africa Development Aid,NGO,,2.33522,1.84606933338009,,,,,,,FTS,National NGOs/CSOs,Africa Development Aid,0,2.33522
africa development aid,2023,Africa Development Aid,NGO,,2.70764525,2.1661162,,,,,,,FTS,National NGOs/CSOs,Africa Development Aid,0,2.70764525
africa development aid,2024,Africa Development Aid,NGO,,0.54768544,0.438148352,,,,,,,FTS,National NGOs/CSOs,Africa Development Aid,0,0.54768544
africa rehabilitation education programme,2022,Africa Rehabilitation & Education Programme,NGO,,0.581297,0.459534675656189,,,,,,,FTS,National NGOs/CSOs,Africa Rehabilitation & Education Programme,0,0.581297
african development solutions,2018,African Development Solutions,NGO,,0.58668,0.447384397106908,,,,,,,FTS,International NGOs,African Development Solutions,0,0.58668
african humanitarian corps,2019,African Humanitarian Corps,NGO,,0.0271268,0.0208403559962996,,,,,,,FTS,National NGOs/CSOs,African Humanitarian Corps,0,0.0271268
african humanitarian corps,2020,African Humanitarian Corps,NGO,,0.0068374,0.0053364144804543,,,,,,,FTS,National NGOs/CSOs,African Humanitarian Corps,0,0.0068374
african initiatives for relief and development,2023,African Initiatives for Relief and Development,NGO,,0.3335504,0.26684032,,,,,,,FTS,International NGOs,African Initiatives for Relief and Development,0,0.3335504
african volunteers for relief and development,2019,African Volunteers for Relief and Development,NGO,,1.41752594,1.08902433105229,,,,,,,FTS,National NGOs/CSOs,African Volunteers for Relief and Development,0,1.41752594
african volunteers for relief and development,2020,African Volunteers for Relief and Development,NGO,,0.1449481,0.113128256318825,,,,,,,FTS,National NGOs/CSOs,African Volunteers for Relief and Development,0,0.1449481
afrique secours et assistance,2024,Afrique Secours et Assistance,NGO,,0.0542,0.04336,,,,,,,FTS,Local NGOs/CSOs,Afrique Secours et Assistance,0,0.0542
afrique solidarité cameroun,2023,Afrique Solidarité - Cameroun,NGO,,0.2148295,0.1718636,,,,,,,FTS,Internationally Affiliated Organizations,Afrique Solidarité - Cameroun,0,0.2148295
afrique solidarité cameroun,2024,Afrique Solidarité - Cameroun,NGO,,0.18121875,0.144975,,,,,,,FTS,Internationally Affiliated Organizations,Afrique Solidarité - Cameroun,0,0.18121875
afrique solidarité suisse,2022,Afrique Solidarité - Suisse,NGO,,0.012724,0.010058746584017,,,,,,,FTS,International NGOs,Afrique Solidarité - Suisse,0,0.012724
afro ethiopia integrated development,2024,Afro Ethiopia Integrated Development,NGO,,0.10665,0.08532,,,,,,,FTS,National NGOs/CSOs,Afro Ethiopia Integrated Development,0,0.10665
aga khan foundation,2024,Aga Khan Foundation,NGO,,4.55929395,3.64743516,,,,,,,FTS,International NGOs,Aga Khan Foundation,0,4.55929395
age international,2023,Age International,NGO,,4.683636,3.7469088,,,,,,,FTS,International NGOs,Age International,0,4.683636
age international,2024,Age International,NGO,,1.091428,0.8731424,,,,,,,FTS,International NGOs,Age International,0,1.091428
agency for minority rights and development,2024,Agency for Minority Rights and Development,NGO,,0.03275,0.0262,,,,,,,FTS,National NGOs/CSOs,Agency for Minority Rights and Development,0,0.03275
agricultural development organisation,2018,Agricultural Development Organisation,NGO,,0.420002,0.320280803084638,,,,,,,FTS,National NGOs/CSOs,Agricultural Development Organisation,0,0.420002
agriculture development association,2022,Agriculture Development Association,NGO,,0.0545764,0.0431444653464278,,,,,,,FTS,National NGOs/CSOs,Agriculture Development Association,0,0.0545764
agriculture development association,2023,Agriculture Development Association,NGO,,0.01449441,0.011595528,,,,,,,FTS,National NGOs/CSOs,Agriculture Development Association,0,0.01449441
agriculture development association,2024,Agriculture Development Association,NGO,,0.571865,0.457492,,,,,,,FTS,National NGOs/CSOs,Agriculture Development Association,0,0.571865
airlight,2024,AirLight,NGO,,0.025,0.02,,,,,,,FTS,Local NGOs/CSOs,AirLight,0,0.025
aisha association for woman and child protection,2019,AISHA Association for Woman and Child Protection,NGO,,0.564217,0.433463701548438,,,,,,,FTS,National NGOs/CSOs,AISHA Association for Woman and Child Protection,0,0.564217
aisha association for woman and child protection,2024,AISHA Association for Woman and Child Protection,NGO,,0.06,0.048,,,,,,,FTS,National NGOs/CSOs,AISHA Association for Woman and Child Protection,0,0.06
al aghsan foundation for agricultural and environmental development,2020,Al-Aghsan Foundation for Agricultural and Environmental Development,NGO,,0.205229,0.16017594515593,,,,,,,FTS,National NGOs/CSOs,Al-Aghsan Foundation for Agricultural and Environmental Development,0,0.205229
al awda health and community association,2023,Al Awda Health and Community Association,NGO,,0.0416728,0.03333824,,,,,,,FTS,Local NGOs/CSOs,Al Awda Health and Community Association,0,0.0416728
al ber and al ihsan charity society,2024,Al-Ber and Al-Ihsan Charity Society,NGO,,0.209,0.1672,,,,,,,FTS,Local NGOs/CSOs,Al-Ber and Al-Ihsan Charity Society,0,0.209
al birr and social services association in idleb,2024,Al-Birr and Social Services Association in Idleb,NGO,,0.2736,0.21888,,,,,,,FTS,Local NGOs/CSOs,Al-Birr and Social Services Association in Idleb,0,0.2736
al fayhaa association,2023,Al Fayhaa Association,NGO,,0.08970507,0.071764056,,,,,,,FTS,National NGOs/CSOs,Al Fayhaa Association,0,0.08970507
al tamayouz for orphan sponsorship social care association,2021,Al Tamayouz for Orphan Sponsorship / Social Care Association,NGO,,0.0620147,0.0488730285020605,,,,,,,FTS,National NGOs/CSOs,Al Tamayouz for Orphan Sponsorship / Social Care Association,0,0.0620147
aleshraq organization for development and construction,2023,Aleshraq Organization for Development and Construction,NGO,,1.543529,1.2348232,,,,,,,FTS,Local NGOs/CSOs,Aleshraq Organization for Development and Construction,0,1.543529
alimenta la solidaridad,2021,Alimenta La Solidaridad,NGO,,0.04250295,0.0334960563668235,,,,,,,FTS,National NGOs/CSOs,Alimenta La Solidaridad,0,0.04250295
all for peace and dignity,2023,All for Peace And Dignity,NGO,,0.024,0.0192,,,,,,,FTS,International NGOs,All for Peace And Dignity,0,0.024
all for peace and dignity,2024,All for Peace And Dignity,NGO,,0.04252,0.034016,,,,,,,FTS,International NGOs,All for Peace And Dignity,0,0.04252
alliance for international medical action,2024,Alliance for International Medical Action,NGO,,0.347852,0.2782816,,,,,,,FTS,International NGOs,Alliance for International Medical Action,0,0.347852
almanar voluntary organization,2017,Almanar Voluntary Organization,NGO,,1.213876,0.925665068559597,,,,,,,FTS,Local NGOs/CSOs,Almanar Voluntary Organization,0,1.213876
alsalam organization for rehabilitation and development,2019,Alsalam Organization for Rehabilitation and Development,NGO,,0.0399884,0.0307213711798821,,,,,,,FTS,National NGOs/CSOs,Alsalam Organization for Rehabilitation and Development,0,0.0399884
alseeraj for development and healthcare,2021,Alseeraj for Development and Healthcare,NGO,,0.2304016,0.181576690102836,,,,,,,FTS,International NGOs,Alseeraj for Development and Healthcare,0,0.2304016
amel lebanese association for popular action,2023,AMEL - Lebanese Association for Popular Action,NGO,,0.1976295,0.1581036,,,,,,,FTS,National NGOs/CSOs,AMEL - Lebanese Association for Popular Action,0,0.1976295
amel lebanese association for popular action,2024,AMEL - Lebanese Association for Popular Action,NGO,,0.0675,0.054,,,,,,,FTS,National NGOs/CSOs,AMEL - Lebanese Association for Popular Action,0,0.0675
american near east refugee aid,2024,American Near East Refugee Aid,NGO,,1.797834,1.4382672,,,,,,,FTS,International NGOs,American Near East Refugee Aid,0,1.797834
american refugee committee,2019,American Refugee Committee,NGO,,0.04879908,0.03749023841706,,,,,,,FTS,International NGOs,American Refugee Committee,0,0.04879908
american refugee committee,2022,American Refugee Committee,NGO,,0.486349,0.3844751133598,,,,,,,FTS,International NGOs,American Refugee Committee,0,0.486349
american refugee committee,2024,American Refugee Committee,NGO,,2.14264028,1.714112224,,,,,,,FTS,International NGOs,American Refugee Committee,0,2.14264028
ana aqra association,2021,Ana Aqra Association,NGO,,0.1118,0.0881082160605527,,,,,,,FTS,National NGOs/CSOs,Ana Aqra Association,0,0.1118
andre foods south sudan,2018,Andre Foods South Sudan,NGO,,0.100012,0.0762661217758506,,,,,,,FTS,National NGOs/CSOs,Andre Foods South Sudan,0,0.100012
arab agronomist association,2020,Arab Agronomist Association,NGO,,0.06,0.0468284536267087,,,,,,,FTS,National NGOs/CSOs,Arab Agronomist Association,0,0.06
arbeiter samariter bund deutschland e v,2019,Arbeiter-Samariter-Bund Deutschland e.V,NGO,,1.61164834,1.23816023808357,,,,,,,FTS,International NGOs,Arbeiter-Samariter-Bund Deutschland e.V,0,1.61164834
arbeiter samariter bund deutschland e v,2020,Arbeiter-Samariter-Bund Deutschland e.V,NGO,,0.5544633,0.432744315529364,,,,,,,FTS,International NGOs,Arbeiter-Samariter-Bund Deutschland e.V,0,0.5544633
arbeiter samariter bund deutschland e v,2021,Arbeiter-Samariter-Bund Deutschland e.V,NGO,,2.46646288,1.94378930533429,,,,,,,FTS,International NGOs,Arbeiter-Samariter-Bund Deutschland e.V,0,2.46646288
